DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/01  00:15:00,6.525,56.31858,0,56.31858
 01/01  00:30:00,6.35,56.31858,0,56.31858
 01/01  00:45:00,6.175,56.31858,0,56.31858
 01/01  01:00:00,6,56.31858,0,56.31858
 01/01  01:15:00,5.825,56.31858,0,56.31858
 01/01  01:30:00,5.65,56.31858,0,56.31858
 01/01  01:45:00,5.475,56.31858,0,56.31858
 01/01  02:00:00,5.3,56.31858,0,56.31858
 01/01  02:15:00,5.075,56.31858,0,56.31858
 01/01  02:30:00,4.85,56.31858,0,56.31858
 01/01  02:45:00,4.625,56.31858,0,56.31858
 01/01  03:00:00,4.4,56.31858,0,56.31858
 01/01  03:15:00,4.275,56.31858,0,56.31858
 01/01  03:30:00,4.15,56.31858,0,56.31858
 01/01  03:45:00,4.025,56.31858,0,56.31858
 01/01  04:00:00,3.9,56.31858,0,56.31858
 01/01  04:15:00,3.975,56.31858,0,56.31858
 01/01  04:30:00,4.05,56.31858,0,56.31858
 01/01  04:45:00,4.125,56.31858,0,56.31858
 01/01  05:00:00,4.2,56.31858,0,56.31858
 01/01  05:15:00,4.55,56.31858,0,56.31858
 01/01  05:30:00,4.9,56.31858,0,56.31858
 01/01  05:45:00,5.25,56.31858,0,56.31858
 01/01  06:00:00,5.6,56.31858,0,111.15843
 01/01  06:15:00,5.8,111.15843,0,110.59632
 01/01  06:30:00,6,110.59632,0,110.17969
 01/01  06:45:00,6.2,110.17969,0,110.06331
 01/01  07:00:00,6.4,110.06331,0,144.57841
 01/01  07:15:00,6.625,144.57841,0,144.69867
 01/01  07:30:00,6.85,144.69867,0,144.68926
 01/01  07:45:00,7.075,144.68926,0,144.69706
 01/01  08:00:00,7.3,144.69706,0,183.63415
 01/01  08:15:00,7.55,183.63415,0,183.68489
 01/01  08:30:00,7.8,183.68489,0,183.72325
 01/01  08:45:00,8.05,183.72325,0,183.99074
 01/01  09:00:00,8.3,183.99074,0,199.66807
 01/01  09:15:00,8.525,199.66807,0,200.15439
 01/01  09:30:00,8.75,200.15439,0,200.55373
 01/01  09:45:00,8.975,200.55373,0,200.87244
 01/01  10:00:00,9.2,200.87244,0,211.366
 01/01  10:15:00,9.675,211.366,0,211.79718
 01/01  10:30:00,10.15,211.79718,0,212.12058
 01/01  10:45:00,10.625,212.12058,0,212.35915
 01/01  11:00:00,11.1,212.35915,0,213.74085
 01/01  11:15:00,11.6,213.74085,0,214.94461
 01/01  11:30:00,12.1,214.94461,0,216.49418
 01/01  11:45:00,12.6,216.49418,0,217.97513
 01/01  12:00:00,13.1,217.97513,0,223.14566
 01/01  12:15:00,13.575,223.14566,0,225.83452
 01/01  12:30:00,14.05,225.83452,0,228.5147
 01/01  12:45:00,14.525,228.5147,0,231.26151
 01/01  13:00:00,15,231.26151,0,234.66758
 01/01  13:15:00,14.825,234.66758,0,237.47009
 01/01  13:30:00,14.65,237.47009,0,239.62407
 01/01  13:45:00,14.475,239.62407,0,240.51405
 01/01  14:00:00,14.3,240.51405,0,234.8781
 01/01  14:15:00,14.125,234.8781,0,235.25035
 01/01  14:30:00,13.95,235.25035,0,234.93578
 01/01  14:45:00,13.775,234.93578,0,233.7083
 01/01  15:00:00,13.6,233.7083,0,218.78027
 01/01  15:15:00,13.425,218.78027,0,217.23317
 01/01  15:30:00,13.25,217.23317,0,214.33281
 01/01  15:45:00,13.075,214.33281,0,210.64824
 01/01  16:00:00,12.9,210.64824,0,167.80109
 01/01  16:15:00,12.6,167.80109,0,164.43854
