Date/Time,LIVING ZONE:Zone Combined Outdoor Air Sensible Heat Loss Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Current Density Volume Flow Rate [m3/s](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Mass [kg](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 01/21  00:10:00,20637636.650334,14.506169948091749,1093.1100392920032,19835719.852453407,0.0,6.938473394304276,0.0,0.0,-17.92774360227311,0.0,0.0,-18.672308539980637,0.0,0.0,19389101.183533117,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  00:20:00,20883526.134776555,14.594031473322124,1098.9465911875552,20571028.50265506,0.0,8.047667762018136,0.0,0.0,-17.92763636826212,0.0,0.0,-18.67372543182042,0.0,0.0,19556326.562484313,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  00:30:00,306964.5049729056,0.1560756244248111,11.431992371834076,19999407.76048815,0.0,9.382438708935073,0.0,0.0,-17.926316229383996,0.0,0.0,-18.67245404238128,0.0,0.0,20215538.02623522,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  00:40:00,20098323.26558765,14.308944057037213,1079.7158785576885,20340649.99976019,0.0,5.29556509651019,0.0,0.0,-17.92645255814145,0.0,0.0,-18.671011947750138,0.0,0.0,20193290.76501463,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  00:50:00,20637636.617530286,14.506169935886826,1093.1100384322672,19835719.86426509,0.0,6.938473368275422,0.0,0.0,-17.927748042966986,0.0,0.0,-18.672309076094773,0.0,0.0,19389101.195925303,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:00:00,20883526.12801525,14.59403147103437,1098.9465910288297,20571028.50627014,0.0,8.047667747869356,0.0,0.0,-17.927640749040457,0.0,0.0,-18.673725961774466,0.0,0.0,19556326.566753764,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:10:00,306964.5046268386,0.15607562440819467,11.431992371834076,19999407.768058788,0.0,9.382438678855765,0.0,0.0,-17.92632055207431,0.0,0.0,-18.672454565628783,0.0,0.0,20215538.033156153,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:20:00,20098323.240338743,14.308944048284086,1079.715877947508,20340650.003569685,0.0,5.295565074910268,0.0,0.0,-17.926456823362408,0.0,0.0,-18.67101246300881,0.0,0.0,20193290.768407263,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:30:00,20637636.58645083,14.506169924323423,1093.1100376177212,19835719.8754559,0.0,6.938473343614765,0.0,0.0,-17.927752250475315,0.0,0.0,-18.672309584052652,0.0,0.0,19389101.207666107,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:40:00,20883526.12161002,14.59403146886713,1098.946590878466,20571028.509695034,0.0,8.04766773446464,0.0,0.0,-17.927644899779068,0.0,0.0,-18.673726463895846,0.0,0.0,19556326.570798613,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  01:50:00,306964.5042989564,0.1560756243924514,11.431992371834076,19999407.77523166,0.0,9.382438650357035,0.0,0.0,-17.92632464777466,0.0,0.0,-18.672455061395915,0.0,0.0,20215538.03971342,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:00:00,20098323.21641675,14.30894403999095,1079.7158773693932,20340650.007178973,0.0,5.2955650544456265,0.0,0.0,-17.926460864610878,0.0,0.0,-18.671012951206666,0.0,0.0,20193290.77162162,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:10:00,20637636.55700505,14.506169913367845,1093.1100368459913,19835719.886058472,0.0,6.938473320250404,0.0,0.0,-17.92775623704212,0.0,0.0,-18.672310065333136,0.0,0.0,19389101.21878977,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:20:00,20883526.115542118,14.594031466814048,1098.9465907360232,20571028.51293975,0.0,8.047667721764864,0.0,0.0,-17.927648832557175,0.0,0.0,-18.673726939646464,0.0,0.0,19556326.574630674,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:30:00,306964.5039883043,0.15607562437753542,11.431992371834076,19999407.782027632,0.0,9.3824386233559,0.0,0.0,-17.92632852840429,0.0,0.0,-18.67245553112604,0.0,0.0,20215538.045926098,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:40:00,20098323.19375196,14.308944032133635,1079.7158768216593,20340650.010598563,0.0,5.295565035056574,0.0,0.0,-17.92646469364771,0.0,0.0,-18.67101341376497,0.0,0.0,20193290.774667054,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  02:50:00,20637636.52910695,14.506169902988093,1093.1100361148237,19835719.89610377,0.0,6.9384732981141,0.0,0.0,-17.927760014268593,0.0,0.0,-18.672310521337344,0.0,0.0,19389101.229328778,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:00:00,20883526.109793726,14.594031464869099,1098.9465906010823,20571028.516013786,0.0,8.047667709732906,0.0,0.0,-17.92765255881965,0.0,0.0,-18.673727390411287,0.0,0.0,19556326.57826116,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:10:00,306964.5036939746,0.1560756243634032,11.431992371834076,19999407.788466573,0.0,9.382438597773472,0.0,0.0,-17.92633220525694,0.0,0.0,-18.67245597618666,0.0,0.0,20215538.051812354,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:20:00,20098323.172278147,14.308944024689184,1079.7158763027062,20340650.01383846,0.0,5.295565016686516,0.0,0.0,-17.92646832161679,0.0,0.0,-18.67101385203051,0.0,0.0,20193290.77755248,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:30:00,20637636.502675112,14.506169893153867,1093.1100354220841,19835719.905621085,0.0,6.938473277141263,0.0,0.0,-17.927763593147652,0.0,0.0,-18.67231095339303,0.0,0.0,19389101.23931387,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:40:00,20883526.10434797,14.594031463026564,1098.9465904732474,20571028.51892614,0.0,8.047667698333576,0.0,0.0,-17.927656089410142,0.0,0.0,-18.6737278175028,0.0,0.0,19556326.581700698,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  03:50:00,306964.5034151104,0.15607562435001351,11.431992371834076,19999407.794567205,0.0,9.382438573535275,0.0,0.0,-17.926335689031397,0.0,0.0,-18.672456397873518,0.0,0.0,20215538.05738932,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:00:00,20098323.151932813,14.30894401763593,1079.7158758110231,20340650.01690808,0.0,5.2955649992819005,0.0,0.0,-17.926471759074396,0.0,0.0,-18.671014267279084,0.0,0.0,20193290.780286286,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:10:00,20637636.47763242,14.506169883836495,1093.1100347657523,19835719.9146382,0.0,6.9384732572707,0.0,0.0,-17.92776698409326,0.0,0.0,-18.672311362757867,0.0,0.0,19389101.24877418,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:20:00,20883526.09918891,14.594031461281043,1098.946590352144,20571028.52168531,0.0,8.04766768753362,0.0,0.0,-17.927659434603513,0.0,0.0,-18.673728222164247,0.0,0.0,19556326.584959336,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:30:00,306964.50315089844,0.15607562433732736,11.431992371834076,19999407.800347324,0.0,9.382438550570606,0.0,0.0,-17.926338989867627,0.0,0.0,-18.672456797414256,0.0,0.0,20215538.06267326,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:40:00,20098323.132656537,14.308944010953281,1079.715875345175,20340650.019816402,0.0,5.2955649827919,0.0,0.0,-17.926475016025893,0.0,0.0,-18.67101466071962,0.0,0.0,20193290.78287645,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  04:50:00,20637636.453905832,14.506169875008796,1093.1100341439135,19835719.92318143,0.0,6.938473238444421,0.0,0.0,-17.92777019697479,0.0,0.0,-18.672311750623695,0.0,0.0,19389101.257737316,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  05:00:00,20883526.0943014,14.594031459627418,1098.946590237416,20571028.52429938,0.0,8.047667677301447,0.0,0.0,-17.92766260413488,0.0,0.0,-18.673728605573768,0.0,0.0,19556326.588046603,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  05:10:00,306964.5029005678,0.15607562432530775,11.431992371834076,19999407.8058238,0.0,9.38243852881247,0.0,0.0,-17.926342117370723,0.0,0.0,-18.672457175972003,0.0,0.0,20215538.06767959,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  05:20:00,20098323.114393108,14.308944004621756,1079.7158749038033,20340650.022571903,0.0,5.2955649671684375,0.0,0.0,-17.926478101948604,0.0,0.0,-18.671015033497593,0.0,0.0,20193290.785330534,0.9999999999999999,0.9999999999999999,1.9999999999999998 
 01/21  05:30:00,20637636.431426097,14.506169866644996,1093.1100335547528,19835719.93127569,0.0,6.93847322060752,0.0,0.0,-17.927773241141864,0.0,0.0,-18.672312118119727,0.0,0.0,19389101.266229425,0.9999999999999999,0.9999999999999999,1.9999999999999998 
