minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.18819001,293.15,293.15,-0.18819001,293.15,0.0,0.0,293.15,235.95,293.15,-0.00037804875,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.006154712,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.06336996,293.15,293.13327,-0.06336996,293.15,0.0,0.0,293.09225,236.01562,293.1474,-0.00012730183,293.15,293.15,8.177589e-20,4.2917447e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30408,1.0,900.0,-7.554661087372239,-4.451059,-4.451059,0.0,0.0,0.0,-8.902118,0.0,0.0,-1.1677551
30,18.846811,318.07047,293.3796,18.846573,293.68784,6.9964037,6.7065253,293.05396,236.0625,313.42874,0.037860498,318.49365,293.70947,0.9990104,0.6577586,1.0,0.0,4853510.0,0.0,343.15,343.15,-4300.094,1.0,1800.0,3188094.7050694884,1954444.5,24397.94,4853510.0,0.0,13.702929,1978842.5,4853510.0,4853523.5,-1.2060547
45,18.147964,302.07468,297.12585,18.947224,337.07544,6.7486277,6.468896,293.1707,236.09062,320.05872,0.037259653,301.95557,337.20053,0.014533515,1.0,0.0,1.0,0.0,1047658.7,343.15,343.15,-4218.4424,1.0,2700.0,3588775.9328972604,377206.4,3179121.5,0.0,1047658.7,13.217524,3556328.0,1047658.7,1047671.9,-1.089325
60,17.154531,327.224,300.55502,17.154533,347.78525,6.148584,5.901388,293.4096,236.1,331.20673,0.034461178,327.69836,347.87683,0.9991887,1.0,1.0,1.0,4853510.0,1047658.7,343.15,343.15,-4201.2764,1.0,3600.0,4436433.898981477,1921473.9,3402892.2,4853510.0,1047658.7,12.049973,5324366.0,5901168.5,5901180.5,-0.85040283
75,13.846909,347.63638,301.8536,13.846909,337.78503,4.8044667,4.6206417,293.78494,236.09062,343.93988,0.0278166,347.6531,337.7516,0.9991887,1.0,0.81295586,0.5475641,3945689.2,573660.3,343.15,343.15,-4173.0703,1.0,4500.0,4916927.377789636,2662589.5,2089664.5,3945689.2,573660.3,9.425108,4752254.0,4519349.5,4519359.0,-0.47506714
90,12.025123,343.62262,302.01807,12.025123,345.7789,4.122252,3.967602,294.2075,236.0625,345.81467,0.024156874,343.4042,345.5859,0.9991887,1.0,0.51998025,0.5000384,2523729.2,523869.56,343.15,343.15,-4182.44,1.0,5400.0,4443553.623969376,2101259.5,2210163.5,2523729.2,523869.56,8.089854,4311423.0,3047598.8,3047606.8,-0.052520752
105,11.230412,344.2244,300.13727,11.230412,343.55664,3.7970655,3.655001,294.53104,236.01562,344.9617,0.022560405,344.20456,343.52618,0.9991887,1.0,0.2266477,0.17772219,1100036.9,186192.2,339.817,339.817,-4148.8228,1.0,6300.0,4247280.789828381,2079489.6,2047993.1,1100036.9,186192.2,7.4520664,4127482.8,1286229.1,1286236.6,0.2710266
120,-0.094385095,339.2933,298.2893,-0.09438519,339.15054,-3.9132185e-13,-3.9088825e-13,294.7019,235.95,340.5678,-0.0001896072,339.24084,339.1024,0.1271807,0.12749441,0.0,0.0,0.0,0.0,337.595,337.595,-99.21889,0.0,7200.0,-33668.49745645837,-16254.697,-16198.122,0.0,0.0,-7.822101e-13,-32452.82,0.0,-7.822101e-13,0.44189453
135,-0.0633691,339.35275,298.2893,-0.0633691,339.2593,0.0,0.0,294.7587,235.81406,340.5678,-0.00012730011,339.24353,339.10617,-5.920822e-15,-5.9383557e-15,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,8100.0,-22604.64430542921,-10929.046,-10904.176,0.0,0.0,0.0,-21833.223,0.0,0.0,0.49868774
