minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
46080,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,2764800.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
46095,-0.042388476,293.15,293.15,-0.042388476,293.15,0.0,0.0,293.15,293.15,-8.515282e-05,293.15,293.15,-1.2633264e-22,3.2019362e-23,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,1.0,2765700.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
46110,11.88274,319.71432,293.3493,11.882586,293.71475,6.5174727,6.254328,293.1614,314.68814,0.02387069,320.16577,293.74203,0.99898094,0.6515183,1.0,0.0,3246544.0,0.0,343.15,343.15,-4285.9775,1.0,2766600.0,2139365.5530304047,1315812.5,18238.361,3246544.0,0.0,12.771801,1334050.9,3246544.0,3246556.8,-1.0986023
46125,11.389774,302.7358,296.73386,11.927416,338.69717,6.2681313,6.0148015,293.27298,321.36978,0.023420569,302.58426,338.842,0.014011838,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4206.5107,1.0,2767500.0,2423346.984468708,287115.75,2102158.8,0.0,700785.6,12.282932,2389274.5,700785.6,700797.94,-0.98703
46140,10.897295,327.27628,300.17966,10.897295,349.27518,5.7877126,5.558637,293.46924,331.3239,0.021891218,327.79105,349.37952,1.0000148,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4192.4653,1.0,2768400.0,2863499.9420788744,1240175.4,2247035.2,3246544.0,700785.6,11.34635,3487210.5,3947329.5,3947340.8,-0.7907715
46155,9.319995,347.30887,301.60953,9.319995,334.73642,4.837262,4.6519814,293.7482,342.58313,0.018722631,347.30582,334.72714,1.0000147,1.0,0.813279,0.5340345,2640345.8,374243.7,343.15,343.15,-4172.682,1.0,2769300.0,3221961.2797438004,1788854.1,1296718.4,2640345.8,374243.7,9.4892435,3085572.5,3014589.5,3014599.0,-0.5118103
46170,7.19424,344.91006,302.20236,7.19424,347.25558,3.6217005,3.4866297,294.06946,345.43118,0.014452273,344.88858,347.25534,1.0000147,1.0,0.5607333,0.54023165,1820445.2,378586.56,343.15,343.15,-4147.1963,1.0,2770200.0,2623969.8274004012,1290447.8,1361319.5,1820445.2,378586.56,7.1083302,2651767.2,2199031.8,2199038.8,-0.19055176
46185,7.190575,344.51334,300.87048,7.190575,343.83203,3.6186182,3.4836478,294.34827,344.0571,0.01444491,344.53952,343.85187,1.0000147,1.0,0.44438928,0.38590518,1442729.2,270436.78,342.039,342.039,-4145.8887,1.0,2771100.0,2620072.418458085,1318032.2,1297456.6,1442729.2,270436.78,7.1022663,2615489.0,1713166.0,1713173.1,0.088256836
46200,7.190553,341.61584,299.02112,7.190553,341.55136,3.618608,3.4836383,294.54773,342.66647,0.014444866,341.56046,341.49368,1.0000147,1.0,0.1903016,0.15577509,617822.5,109164.945,338.706,338.706,-4145.8906,1.0,2772000.0,2647895.532417618,1286374.5,1284427.1,617822.5,109164.945,7.1022463,2570801.5,726987.44,726994.56,0.28771973
46215,-0.06295735,336.58447,297.6847,-0.06295359,336.63327,-7.4691123e-22,-7.460835e-22,294.6719,338.75177,-0.00012646917,336.42938,336.49564,0.0012070747,0.0012070152,0.0,0.0,0.0,0.0,337.595,337.595,-98.93236,0.0,2772900.0,-21813.620270838106,-10285.914,-10298.202,0.0,0.0,-1.4929948e-21,-20584.117,0.0,-1.4929948e-21,0.41189575
46230,-0.042387918,336.75436,297.6847,-0.042387918,336.78714,0.0,0.0,294.7282,338.75177,-8.515169e-05,336.437,336.50162,2.9944035e-13,2.9942953e-13,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2773800.0,-14687.110268576564,-6955.5444,-6961.3794,0.0,0.0,0.0,-13916.924,0.0,0.0,0.46820068
46245,-0.042387918,336.8786,297.6847,-0.042387918,336.90073,0.0,0.0,294.75882,338.75177,-8.515169e-05,336.44482,336.50778,-4.3802797e-17,1.6434636e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2774700.0,-14687.110268576564,-6977.662,-6981.601,0.0,0.0,0.0,-13959.264,0.0,0.0,0.4988098
46260,-0.042387918,336.97418,297.6847,-0.042387918,336.9891,0.0,0.0,294.7758,338.75177,-8.515169e-05,336.45294,336.51422,2.6771987e-19,1.6213238e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2775600.0,-14687.110268576564,-6994.678,-6997.335,0.0,0.0,0.0,-13992.014,0.0,0.0,0.5157776
46275,-0.042387918,337.0497,297.6847,-0.042387918,337.0598,0.0,0.0,294.7825,338.75177,-8.515169e-05,336.46136,336.52097,2.549323e-18,5.2969003e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2776500.0,-14687.110268576564,-7008.125,-7009.9233,0.0,0.0,0.0,-14018.049,0.0,0.0,0.52249146
46290,-0.042387918,337.1126,297.6847,-0.042387918,337.11942,0.0,0.0,294.78778,338.75177,-8.515169e-05,336.4701,336.52798,-2.759721e-18,1.2801858e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2777400.0,-14687.110268576564,-7019.3228,-7020.534,0.0,0.0,0.0,-14039.857,0.0,0.0,0.527771
46305,-0.042387918,337.16696,297.6847,-0.042387918,337.17157,0.0,0.0,294.79126,338.75177,-8.515169e-05,336.47916,336.5353,3.6231578e-18,-7.312097e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2778300.0,-14687.110268576564,-7028.999,-7029.8193,0.0,0.0,0.0,-14058.818,0.0,0.0,0.53125
46320,-0.042387918,337.21564,297.6847,-0.042387918,337.21878,0.0,0.0,294.7896,338.75177,-8.515169e-05,336.48853,336.5429,4.91851e-18,-1.699939e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2779200.0,-14687.110268576564,-7037.6646,-7038.224,0.0,0.0,0.0,-14075.889,0.0,0.0,0.52960205
46335,-0.042387918,337.26035,297.6847,-0.042387918,337.26248,0.0,0.0,294.75775,338.75177,-8.515169e-05,336.4982,336.5508,1.9739598e-18,3.572527e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2780100.0,-14687.110268576564,-7045.624,-7046.0044,0.0,0.0,0.0,-14091.629,0.0,0.0,0.4977417
46350,-0.042387918,337.30237,297.6847,-0.042387918,337.3038,0.0,0.0,294.73053,338.75177,-8.515169e-05,336.50815,336.55896,-7.1008957e-31,-1.2851396e-31,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2781000.0,-14687.110268576564,-7053.105,-7053.3604,0.0,0.0,0.0,-14106.465,0.0,0.0,0.47052002
46365,-0.042387918,337.34186,297.6847,-0.042387918,337.34283,0.0,0.0,294.70294,338.75177,-8.515169e-05,336.5184,336.56738,6.1129e-41,1.1063e-41,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2781900.0,-14687.110268576564,-7060.1353,-7060.3096,0.0,0.0,0.0,-14120.445,0.0,0.0,0.44293213
46380,-0.042387918,337.37897,297.6847,-0.042387918,337.37964,0.0,0.0,294.6724,338.75177,-8.515169e-05,336.52887,336.57602,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2782800.0,-14687.110268576564,-7066.742,-7066.8613,0.0,0.0,0.0,-14133.604,0.0,0.0,0.41238403
46395,-0.042387918,337.41318,297.6847,-0.042387918,337.41364,0.0,0.0,294.5882,338.75177,-8.515169e-05,336.53955,336.58487,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2783700.0,-14687.110268576564,-7072.8325,-7072.914,0.0,0.0,0.0,-14145.746,0.0,0.0,0.32818604
46410,-0.042387918,337.44403,297.6847,-0.042387918,337.44434,0.0,0.0,294.5206,338.75177,-8.515169e-05,336.55038,336.59384,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2784600.0,-14687.110268576564,-7078.325,-7078.3794,0.0,0.0,0.0,-14156.705,0.0,0.0,0.2605896
46425,-0.042387918,337.47046,297.6847,-0.042387918,337.47064,0.0,0.0,294.45688,338.75177,-8.515169e-05,336.5613,336.6029,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2785500.0,-14687.110268576564,-7083.0303,-7083.063,0.0,0.0,0.0,-14166.094,0.0,0.0,0.1968689
46440,-0.042387918,337.49155,297.6847,-0.042387918,337.49167,0.0,0.0,294.39227,338.75177,-8.515169e-05,336.57217,336.612,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,2786400.0,-14687.110268576564,-7086.7847,-7086.806,0.0,0.0,0.0,-14173.591,0.0,0.0,0.13226318
46455,-0.042387936,337.5058,298.2902,-0.042387936,337.5059,0.0,0.0,294.27905,337.11905,-8.515173e-05,336.58298,336.62097,-8.901654e-20,-1.6639911e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303215,0.0,2787300.0,-13886.646816628101,-6981.5283,-6981.5444,0.0,0.0,0.0,-13963.072,0.0,0.0,0.019042969
46470,-0.042387985,337.51218,301.4327,-0.042387985,337.51227,0.0,0.0,294.18866,328.2669,-8.5151834e-05,336.5935,336.6298,7.008553e-17,1.3917378e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30329,0.0,2788200.0,-9596.92096853435,-6423.211,-6423.2275,0.0,0.0,0.0,-12846.438,0.0,0.0,-0.0713501
46485,-0.04238806,337.50885,305.97397,-0.04238806,337.5089,0.0,0.0,294.10037,313.95935,-8.515198e-05,336.60367,336.63828,2.386777e-17,5.2339172e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303406,0.0,2789100.0,-2855.8785955217213,-5614.15,-5614.161,0.0,0.0,0.0,-11228.311,0.0,0.0,-0.15963745
46500,-0.04238814,337.49484,309.0725,-0.04238814,337.49487,0.0,0.0,294.01337,301.96176,-8.515214e-05,336.6133,336.64633,-6.6137027e-18,-6.594037e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303535,0.0,2790000.0,2543.080821091559,-5060.0337,-5060.039,0.0,0.0,0.0,-10120.072,0.0,0.0,-0.24664307
46515,93.795494,325.65945,294.22937,2.1376903,335.84146,145.4985,0.0,293.88705,321.97916,0.096358515,325.72708,335.37637,0.99986243,-5.1884254e-15,1.0,0.0,3246544.0,0.0,343.15,343.15,-5503.758,1.0,2790900.0,11230498.50632492,12381601.0,373605.78,3246544.0,0.0,145.4985,12755207.0,3246544.0,3246689.5,-0.37295532
46530,6.959718,355.27853,294.39267,6.959718,340.86578,3.4932623,3.3632648,293.82294,341.66238,0.0139811495,355.7758,341.93872,0.99986243,0.99999875,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4146.092,1.0,2791800.0,2775716.7678830116,1779743.5,1358447.1,3246544.0,700785.6,6.8565273,3138190.5,3947329.5,3947336.2,-0.43707275
46545,6.60308,312.4861,296.46658,6.918371,342.74628,3.3834932,3.257772,293.88318,331.37704,0.0135814,312.1648,342.80252,0.014119318,1.0,0.0,0.56745154,0.0,397661.9,343.15,343.15,-4143.395,1.0,2792700.0,1991358.3229261008,444268.62,1344756.4,0.0,397661.9,6.641265,1789025.0,397661.9,397668.56,-0.37683105
46560,6.390645,349.7834,298.41553,6.390645,355.18494,3.1812592,3.0633557,293.9565,346.33603,0.012837957,350.30692,353.9195,0.9991975,1.0,0.86378706,0.01,2804322.8,7007.856,343.15,343.15,-4138.7705,1.0,2793600.0,2583845.5609731968,1378749.8,1523731.2,2804322.8,7007.856,6.2446146,2902481.0,2811330.5,2811336.8,-0.3034973
46575,7.8217497,343.18866,298.75327,7.82175,342.0755,3.9949203,3.8454044,294.08456,340.5022,0.015712855,343.1877,342.36072,0.9991975,1.0,0.51169217,0.63411045,1661231.1,444375.47,343.15,343.15,-4178.7705,1.0,2794500.0,2755178.702352339,1459762.6,1423194.0,1661231.1,444375.47,7.8403244,2882956.5,2105606.5,2105614.2,-0.17544556
46590,7.5790577,342.05753,298.4271,7.579058,342.33945,3.864288,3.7201505,294.20364,344.77032,0.01522532,341.9918,342.204,0.9991975,1.0,0.31907701,0.23132987,1035897.56,162112.64,339.817,339.817,-4183.5366,1.0,2795400.0,2963480.2284290628,1388845.8,1397820.0,1035897.56,162112.64,7.5844383,2786665.8,1198010.2,1198017.9,-0.056365967
46605,7.66998,337.73596,297.78918,7.66998,337.5554,3.889975,3.7442794,294.29495,338.55377,0.015407971,337.71173,337.54614,0.9991975,1.0,0.19809042,0.17503333,643109.25,122660.84,336.484,336.484,-4155.577,1.0,2796300.0,2638018.2564223674,1286842.1,1281025.1,643109.25,122660.84,7.6342545,2567867.2,765770.1,765777.75,0.034942627
46620,7.3642607,334.53314,297.10223,7.3642607,334.4733,3.7320685,3.5929513,294.3468,334.99097,0.014793822,334.54224,334.47467,0.9991975,1.0,0.15908313,0.13178828,516470.34,92355.336,333.151,333.151,-4167.7583,1.0,2797200.0,2354180.454028722,1157734.0,1155883.0,516470.34,92355.336,7.32502,2313617.0,608825.7,608833.0,0.08679199
46635,8.033927,330.79126,296.51337,8.033927,330.71915,4.1252275,3.9706376,294.36777,331.56598,0.016139092,330.7438,330.67426,0.9991975,1.0,0.09697671,0.07841184,314839.16,54949.887,329.818,329.818,-4191.5024,1.0,2798100.0,2376012.795054476,1156621.5,1154188.2,314839.16,54949.887,8.095865,2310809.8,369789.03,369797.12,0.10775757
46650,8.215632,327.24936,296.06067,8.215632,327.2173,4.227026,4.0682316,294.36835,327.80142,0.016504114,327.21585,327.18503,0.9991975,1.0,0.08029467,0.06537263,260680.17,45812.2,326.485,326.485,-4191.0933,1.0,2799000.0,2200182.702891641,1076186.2,1075079.5,260680.17,45812.2,8.295258,2151265.8,306492.38,306500.66,0.1083374
46665,10.78075,323.9123,295.7324,10.78075,323.882,5.678632,5.4538193,294.35593,324.50504,0.021657096,323.87686,323.8478,0.9991975,1.0,0.06552171,0.052711155,212719.11,36939.22,323.152,323.152,-4161.4917,1.0,2799900.0,2617154.066524904,1275962.0,1274589.9,212719.11,36939.22,11.132451,2550552.0,249658.33,249669.45,0.09591675
46680,8.735651,320.3418,295.5049,8.735652,320.3294,4.461109,4.291138,294.33597,320.86618,0.017548764,320.34137,320.32504,0.9991975,1.0,0.06128361,0.049705442,198959.94,34832.86,319.819,319.819,-4131.3203,1.0,2800800.0,1869247.3550454224,911258.7,910804.2,198959.94,34832.86,8.752247,1822062.9,233792.8,233801.55,0.07595825
46695,8.239761,317.13602,295.35822,8.239761,317.1254,4.182521,4.0242934,294.3107,317.88345,0.016552586,317.10507,317.09384,0.9991975,1.0,0.044815663,0.03509855,145496.03,24596.559,316.486,316.486,-4130.2607,1.0,2801700.0,1565973.957334495,753664.3,753296.75,145496.03,24596.559,8.206814,1506961.0,170092.6,170100.8,0.050689697
46710,7.533092,313.44394,295.279,7.533092,313.918,3.786217,3.6441185,294.28198,314.8151,0.015132981,313.32816,313.871,0.9991975,1.0,0.0,0.035169967,0.0,24646.607,314.264,314.264,-4123.077,1.0,2802600.0,1241685.7812649198,574720.5,589719.3,0.0,24646.607,7.4303355,1164439.8,24646.607,24654.037,0.021972656
46725,8.003752,308.34335,295.2568,8.354857,311.5049,4.126893,3.9704962,294.25027,310.9455,0.016431136,308.29446,311.43527,0.014562107,1.0,0.0,0.012213674,0.0,8559.168,309.82,309.82,-4107.046,1.0,2803500.0,1082688.6125638906,439914.22,570152.6,0.0,8559.168,8.097389,1010066.9,8559.168,8567.266,-0.009735107
46740,6.135389,314.30804,295.28043,6.135389,311.36096,3.0278406,2.915526,294.2153,308.3764,0.012325182,314.50665,311.15472,1.0,1.0,0.20000948,0.01,649339.56,7007.856,308.709,308.709,-4114.0605,1.0,2804400.0,677923.2799298541,490315.72,414373.44,649339.56,7007.856,5.9433665,904689.1,656347.44,656353.4,-0.044708252
46755,9.491086,307.08746,295.3331,9.092354,304.1953,4.7594957,4.5761533,294.18094,306.4385,0.018665832,307.00912,304.16748,1.0,0.014503748,0.01813305,0.0,58869.746,0.0,305.37,305.37,-4115.9253,1.0,2805300.0,870625.0120867935,468559.06,338429.2,58869.746,0.0,9.3356495,806988.25,58869.746,58879.082,-0.079071045
46770,7.433227,304.58206,295.40848,7.1140285,301.66235,3.6492937,3.5127983,294.14484,303.3642,0.014611752,304.61688,301.6231,1.0,0.014503748,0.08197518,0.0,266136.03,0.0,305.37,305.37,-4128.434,1.0,2806200.0,488237.3626781884,286395.2,186859.05,266136.03,0.0,7.162092,473254.25,266136.03,266143.2,-0.11517334
46785,11.127971,305.45248,295.4758,10.658428,299.66226,5.666668,5.440163,294.10483,302.52142,0.02188299,305.47852,299.65216,1.0,0.014503748,0.117049314,0.0,380005.75,0.0,305.37,305.37,-4099.921,1.0,2807100.0,647553.1328673128,466285.06,187408.66,380005.75,0.0,11.106831,653693.75,380005.75,380016.84,-0.15518188
46800,8.147939,306.20447,295.50052,7.8020196,298.72147,4.069377,3.916583,294.06342,302.4562,0.016020674,306.1949,298.70966,1.0,0.014503748,0.1454508,0.0,472212.4,0.0,307.038,307.038,-4166.8125,1.0,2808000.0,468026.2411709009,366303.53,105545.55,472212.4,0.0,7.98596,471849.06,472212.4,472220.4,-0.19659424
46815,6.38489,308.2082,295.5206,6.1053677,297.80447,3.1025767,2.9876983,294.01904,303.11508,0.012545634,308.2081,297.7844,1.0,0.014503748,0.15297681,0.0,496645.94,0.0,308.706,308.706,-4137.329,1.0,2808900.0,400165.9088628003,340237.28,58564.355,496645.94,0.0,6.090275,398801.62,496645.94,496652.03,-0.2409668
46830,6.963532,309.59952,295.6041,6.661916,296.8754,3.4109807,3.284169,293.97705,303.1911,0.013685857,309.6255,296.86615,1.0,0.014503748,0.20673837,0.0,671185.2,0.0,310.374,310.374,-4142.6494,1.0,2809800.0,436105.62868813646,409321.78,35571.07,671185.2,0.0,6.6951494,444892.84,671185.2,671191.9,-0.28295898
46845,7.53046,311.33746,295.77023,7.2076364,296.60184,3.718193,3.5792882,293.93866,303.94937,0.014803438,311.35364,296.60117,1.0,0.014503748,0.24359971,0.0,790857.2,0.0,312.042,312.042,-4148.342,1.0,2810700.0,508533.34834570205,492359.28,25174.377,790857.2,0.0,7.2974815,517533.66,790857.2,790864.5,-0.3213501
46860,8.065364,312.9713,296.00232,7.722552,296.68176,4.012647,3.861926,293.90582,304.78378,0.015857913,312.98892,296.68405,1.0,0.014503748,0.28525177,0.0,926082.4,0.0,313.71,313.71,-4154.1084,1.0,2811600.0,584873.8670657894,574816.6,22037.553,926082.4,0.0,7.874573,596854.2,926082.4,926090.25,-0.354187
46875,8.31612,309.76712,296.2954,8.316224,317.49954,4.2513804,4.0908613,293.88672,316.97922,0.016706085,309.41693,317.4584,0.66036755,1.0,0.0,0.2893047,0.0,202740.58,313.71,313.71,-4157.532,1.0,2812500.0,1451290.8506637472,470535.9,740620.94,0.0,202740.58,8.342241,1211156.9,202740.58,202748.92,-0.37329102
46890,8.29449,299.3652,296.99216,8.664822,315.09946,4.347022,4.1825786,293.89938,307.44016,0.017034503,299.3246,315.15933,0.014404782,1.0,0.0,0.33646083,0.0,235786.9,317.046,317.046,-4161.3936,1.0,2813400.0,747501.0939429012,82669.49,658965.4,0.0,235786.9,8.5296,741634.9,235786.9,235795.44,-0.36062622
46905,8.470815,298.28522,297.5657,8.848389,318.45667,4.4507403,4.28196,293.90866,308.43576,0.01739599,298.28653,318.4655,0.014404782,1.0,0.0,0.35555464,0.0,249167.56,318.714,318.714,-4163.526,1.0,2814300.0,794200.6287292998,25598.416,776375.7,0.0,249167.56,8.7327,801974.1,249167.56,249176.3,-0.35134888
46920,8.830656,322.2229,297.59647,8.830656,322.4135,4.5480175,4.3750925,293.91812,322.9325,0.017739614,322.26862,321.8436,1.0000497,1.0,0.46500355,0.015537606,1509654.5,10888.53,320.382,320.382,-4163.8066,1.0,2815200.0,1887695.8280949679,913363.75,920433.4,1509654.5,10888.53,8.92311,1833797.1,1520543.0,1520551.9,-0.34188843
46935,8.671365,321.28308,298.06665,8.671365,320.82047,4.456263,4.287222,293.96732,319.697,0.01741962,321.2849,320.96094,1.0000497,1.0,0.3917783,0.45580646,1271925.4,319422.6,322.05,322.05,-4162.4,1.0,2816100.0,1582527.6691719068,845536.1,828687.8,1271925.4,319422.6,8.7434845,1674224.0,1591348.0,1591356.8,-0.2926941
46950,8.251045,323.6007,298.92142,8.251045,323.86667,4.2151856,4.056182,294.04312,323.51273,0.016575253,323.62302,323.8578,1.0000497,1.0,0.40517464,0.3619832,1315417.2,253672.62,323.718,323.718,-4157.8423,1.0,2817000.0,1711950.0410140972,855245.8,864462.5,1315417.2,253672.62,8.271368,1719708.2,1569089.9,1569098.1,-0.21688843
46965,7.632146,325.20148,299.3105,7.632146,325.1235,3.8652813,3.7205052,294.13412,324.74628,0.015331967,325.2188,325.14807,1.0000497,1.0,0.38478023,0.3605085,1249205.9,252639.17,325.386,325.386,-4151.26,1.0,2817900.0,1637918.9544745714,829936.06,827436.7,1249205.9,252639.17,7.585787,1657372.8,1501845.0,1501852.6,-0.12588501
46980,7.1904263,326.74197,299.2873,7.1904263,326.7881,3.6185653,3.4835975,294.22714,326.4531,0.014444611,326.75348,326.79883,1.0000497,1.0,0.3724737,0.34354198,1209252.2,240749.27,327.054,327.054,-4145.923,1.0,2818800.0,1648077.6621953454,829125.6,830518.2,1209252.2,240749.27,7.102163,1659643.8,1450001.5,1450008.6,-0.03286743
46995,7.190399,328.53802,298.99432,7.190399,328.5356,3.6185231,3.4835565,294.3163,328.01907,0.014444556,328.56216,328.56085,1.0000497,1.0,0.37008712,0.34128493,1201504.1,239167.58,328.722,328.722,-4145.8896,1.0,2819700.0,1760848.428221675,892210.2,892137.4,1201504.1,239167.58,7.1020794,1784347.5,1440671.8,1440678.9,0.05630493
47010,7.190404,330.31073,298.5515,7.190404,330.32138,3.6185255,3.483559,294.3967,329.88885,0.014444566,330.3303,330.34097,1.0000497,1.0,0.34608236,0.31605583,1123571.5,221487.39,330.39,330.39,-4145.8896,1.0,2820600.0,1901148.0818163021,959118.7,959440.4,1123571.5,221487.39,7.102084,1918559.0,1345058.9,1345066.0,0.13668823
47025,7.1904035,329.0721,298.03458,7.1904035,329.06714,3.6185255,3.483559,294.46512,330.0347,0.014444565,329.01718,329.0088,1.0000497,1.0,0.22114001,0.18985112,717940.75,133044.94,327.057,327.057,-4145.8896,1.0,2821500.0,1941356.9954856485,937324.1,937173.94,717940.75,133044.94,7.102084,1874498.0,850985.7,850992.8,0.20510864
47040,7.190408,324.89212,297.49734,7.190408,324.78806,3.6185281,3.4835613,294.51428,325.8022,0.014444575,324.85,324.74692,1.0000497,1.0,0.1448262,0.123132184,470184.62,86289.266,323.724,323.724,-4145.8896,1.0,2822400.0,1717175.78511807,827314.4,824171.7,470184.62,86289.266,7.1020894,1651486.0,556473.9,556481.0,0.25427246
47055,7.1904163,321.41208,296.98535,7.1904163,321.3703,3.6185327,3.4835656,294.53833,322.25308,0.014444591,321.37418,321.33197,1.0000497,1.0,0.09940482,0.08300739,322722.12,58170.383,320.391,320.391,-4145.8896,1.0,2823300.0,1532924.5015522758,737681.0,736419.3,322722.12,58170.383,7.1020985,1474100.2,380892.5,380899.6,0.2783203
47070,6.115961,315.3748,296.53775,6.408362,318.7912,3.1118615,2.9966288,294.53986,318.3903,0.01257985,315.2633,318.79327,0.014181518,1.0,0.0,0.08810869,0.0,61745.3,319.28,319.28,-4137.6245,1.0,2824200.0,1154586.9795712861,483867.66,598954.2,0.0,61745.3,6.10849,1082821.9,61745.3,61751.41,0.2798462
47085,3.8805902,311.19443,296.17554,4.0660653,315.09604,1.9197221,1.8493248,294.5232,313.97165,0.007981888,311.15454,315.0709,0.0141848065,1.0,0.0,0.020710737,0.0,14513.786,313.725,313.725,-4129.686,1.0,2825100.0,596595.6092578665,244785.06,323114.38,0.0,14513.786,3.7690468,567899.44,14513.786,14517.556,0.2631836
47100,5.9403195,317.91254,295.89847,5.9403195,313.71054,2.9311519,2.8226802,294.49292,314.30576,0.011933313,317.89764,313.48883,1.0,1.0,0.1398453,0.0,454013.9,0.0,312.614,312.614,-4123.1416,1.0,2826000.0,922571.6631891032,549236.5,444399.5,454013.9,0.0,5.753832,993636.0,454013.9,454019.66,0.23291016
