minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.14996,-0.04238848,293.15,0.0,0.0,293.11307,293.14856,-8.515283e-05,293.15,293.15,1.5732735e-19,5.0113522e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,1.0,900.0,0.5020607598993365,-0.0054330938,-0.0054330938,0.0,0.0,0.0,-0.0108661875,0.0,0.0,-1.1469421
30,12.395842,318.48825,293.36905,12.39569,293.75998,6.85869,6.576835,293.0865,313.66098,0.024901446,318.93286,293.79224,0.9991263,0.664555,1.0,0.0,3246544.0,0.0,343.15,343.15,-4297.9717,1.0,1800.0,2122253.3930364535,1307769.4,20352.566,3246544.0,0.0,13.435525,1328122.0,3246544.0,3246557.5,-1.173523
45,12.100203,301.978,297.04144,12.677207,336.99557,6.7367187,6.4576583,293.16843,320.1563,0.024887262,301.8504,337.11276,0.013950554,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4217.953,1.0,2700.0,2416116.2678755773,250879.88,2127328.5,0.0,700785.6,13.194377,2378208.5,700785.6,700798.8,-1.0915833
60,11.956585,326.74832,300.63345,11.956584,346.2237,6.4533067,6.1899114,293.33136,330.8226,0.02401919,327.17444,346.28976,1.0011336,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4207.7773,1.0,3600.0,3045499.1941222944,1311427.5,2289434.8,3246544.0,700785.6,12.643218,3600862.2,3947329.5,3947342.2,-0.9286499
75,10.721833,345.5444,302.4503,10.721833,339.24026,5.6807737,5.4569254,293.59344,345.02948,0.021538738,345.59186,339.004,1.0011322,1.0,0.93446153,0.5050884,3033770.5,353958.66,343.15,343.15,-4190.9766,1.0,4500.0,3851828.784844088,1940601.2,1656715.2,3033770.5,353958.66,11.137699,3597316.5,3387729.2,3387740.5,-0.66656494
90,8.672876,345.21317,303.7855,8.672876,345.6295,4.459633,4.2905064,293.9157,344.6187,0.017422656,345.2042,345.69797,1.0011322,1.0,0.6814083,0.6671384,2212222.0,467520.97,343.15,343.15,-4164.8945,1.0,5400.0,2987977.246804246,1509047.9,1524212.8,2212222.0,467520.97,8.750139,3033260.5,2679743.0,2679751.8,-0.34429932
105,7.6606965,344.1725,302.7115,7.6606965,344.02194,3.8741698,3.7288883,294.21338,345.04758,0.015389321,344.09485,343.93088,1.0011322,1.0,0.50778294,0.44050607,1648539.5,308700.3,343.15,343.15,-4143.515,1.0,6300.0,2736399.5231697913,1334004.5,1329160.9,1648539.5,308700.3,7.603058,2663165.5,1957239.8,1957247.4,-0.04663086
120,7.611838,344.87222,300.78186,7.611838,344.8044,3.857636,3.7132444,294.43884,344.53815,0.015291171,344.91812,344.8531,1.0011322,1.0,0.4069182,0.36447057,1321077.9,255415.73,340.928,340.928,-4155.2935,1.0,7200.0,2810156.4436782384,1409556.5,1407388.6,1321077.9,255415.73,7.5708804,2816945.0,1576493.6,1576501.2,0.17883301
135,7.912222,339.84988,298.8936,7.9122214,339.58267,4.06093,3.9090562,294.5968,341.16544,0.015894601,339.76416,339.49817,1.0011322,1.0,0.1295529,0.09700891,420599.16,67982.445,337.595,337.595,-4195.775,1.0,8100.0,2821955.6556786755,1361032.4,1352152.4,420599.16,67982.445,7.969986,2713184.8,488581.6,488589.56,0.336792
