minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
86400,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,5184000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
86415,-0.042388476,293.15,293.15,-0.042388476,293.15,0.0,0.0,293.14526,293.1497,-8.515282e-05,293.15,293.15,-1.4829622e-21,-6.624936e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,1.0,5184900.0,0.10914362480463069,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1147461
86430,12.297273,320.68295,293.28458,12.297128,293.68427,7.1631246,6.8771772,293.15585,316.0092,0.024703441,321.08,293.72437,0.9991048,0.6707317,1.0,0.0,3246544.0,0.0,343.15,343.15,-4550.3394,1.0,5185800.0,2357779.4150805855,1415086.4,20643.098,3246544.0,0.0,14.040302,1435729.5,3246544.0,3246558.0,-1.1041565
86445,11.471256,302.52725,296.7493,11.989852,338.55054,6.3176374,6.0618114,293.2637,321.18805,0.023565125,302.38025,338.69147,0.014328185,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4210.37,1.0,5186700.0,2418789.3262054557,278377.66,2105000.8,0.0,700785.6,12.379449,2383378.5,700785.6,700798.0,-0.9963074
86460,10.996372,327.30118,300.27914,10.996372,349.0586,5.856858,5.6246076,293.45825,331.3884,0.02209025,327.80594,349.1581,0.99923915,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4199.9033,1.0,5187600.0,2886287.0148455384,1248006.1,2252867.2,3246544.0,700785.6,11.481465,3500873.5,3947329.5,3947341.0,-0.8017578
86475,9.496518,347.09457,301.714,9.496518,334.97,4.9552355,4.7651153,293.73056,342.62436,0.019077243,347.09467,334.94858,0.99923986,1.0,0.8260853,0.53799987,2681922.2,377022.6,343.15,343.15,-4187.243,1.0,5188500.0,3277919.731302825,1810021.6,1326428.5,2681922.2,377022.6,9.72035,3136450.0,3058944.8,3058954.5,-0.52944946
86490,7.2640457,344.94754,302.43698,7.2640457,347.2468,3.6740642,3.5372005,294.04324,345.37534,0.014592503,344.9504,347.26755,0.99923986,1.0,0.5812937,0.55892676,1887195.5,391687.84,343.14996,343.14996,-4164.2275,1.0,5189400.0,2631627.9159334726,1296954.4,1367102.2,1887195.5,391687.84,7.2112646,2664056.5,2278883.2,2278890.5,-0.21676636
86505,7.1905856,344.2783,301.15262,7.1905856,343.57965,3.6186826,3.4837108,294.32315,343.96347,0.014444931,344.3021,343.5971,0.99923986,1.0,0.47028524,0.41077772,1526801.8,287867.1,343.14993,343.14993,-4145.9595,1.0,5190300.0,2597279.25024971,1302415.1,1281315.9,1526801.8,287867.1,7.102393,2583731.0,1814668.9,1814676.0,0.06314087
86520,7.1905494,344.94662,299.29364,7.1905494,344.9673,3.6186063,3.4836366,294.5216,344.89014,0.014444858,344.94354,344.96582,0.99923986,1.0,0.29711157,0.25918865,964585.8,181635.67,343.1499,343.1499,-4145.891,1.0,5191200.0,2766266.625933713,1378734.1,1379358.1,964585.8,181635.67,7.102243,2758092.2,1146221.5,1146228.6,0.26159668
86535,6.8819985,342.46292,297.70056,6.881999,342.5656,3.4562533,3.3278184,294.64957,344.53094,0.013825022,342.242,342.37094,0.99923986,1.0,0.0,0.0,0.0,0.0,343.14987,343.14987,-4152.5337,0.0,5192100.0,2719210.471367387,1293828.9,1296797.2,0.0,0.0,6.784072,2590626.0,0.0,6.784072,0.38955688
