minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,272.55,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13727,-0.04238848,293.15,0.0,0.0,293.11307,272.55,293.14862,-8.515283e-05,293.15,293.15,-1.5295758e-18,-7.252532e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,1.0,900.0,-4.060143536577243,-2.2656002,-2.2656002,0.0,0.0,0.0,-4.5312004,0.0,0.0,-1.1469421
30,12.816616,319.71243,293.28317,12.816454,293.64462,7.5491996,7.242116,293.08405,272.55,315.3352,0.025746716,320.08615,293.6813,0.9990111,0.65732116,1.0,0.0,3246544.0,0.0,343.15,343.15,-4575.1323,1.0,1800.0,2384623.169697568,1422681.5,19456.541,3246544.0,0.0,14.791315,1442138.0,3246544.0,3246558.8,-1.1759644
45,12.139608,301.78354,297.00073,12.676262,336.81473,6.750577,6.47077,293.16577,272.55,319.91824,0.024925893,301.65845,336.93347,0.014505506,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4219.188,1.0,2700.0,2399205.6086359182,243857.86,2119709.0,0.0,700785.6,13.221347,2363566.8,700785.6,700798.9,-1.0942383
60,11.986343,326.42725,300.65524,11.986343,346.19724,6.477883,6.213331,293.3281,272.55,330.57193,0.02407897,326.86334,346.26407,0.9992101,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4212.138,1.0,3600.0,3025524.7354090214,1297430.8,2292704.2,3246544.0,700785.6,12.691214,3590135.0,3947329.5,3947342.2,-0.9319153
75,10.782703,345.57117,302.44562,10.782703,339.31354,5.7318773,5.5059404,293.58798,272.55,344.87573,0.021661019,345.6157,339.1005,0.9992101,1.0,0.93290424,0.52388227,3028714.5,367129.12,343.15,343.15,-4202.5913,1.0,4500.0,3860133.9826624324,1953042.1,1669650.6,3028714.5,367129.12,11.237818,3622692.8,3395843.5,3395854.8,-0.6720276
90,8.7309885,345.2059,303.89133,8.7309885,346.0176,4.5076294,4.336806,293.9124,272.55,344.85022,0.017539395,345.19867,346.0754,0.9992101,1.0,0.6793742,0.66336274,2205618.2,464875.06,343.15,343.15,-4179.745,1.0,5400.0,3017255.6432234044,1515011.8,1544777.1,2205618.2,464875.06,8.844435,3059789.0,2670493.2,2670502.0,-0.3475952
105,7.563814,342.94916,302.81046,7.563814,342.73483,3.8467758,3.7031524,294.21304,272.55,344.7664,0.015194698,342.9369,342.69858,0.9992101,1.0,0.5269636,0.45707732,1710810.5,320313.22,343.14996,343.14996,-4173.163,1.0,6300.0,2677532.4885336203,1275127.1,1268318.4,1710810.5,320313.22,7.549928,2543445.5,2031123.8,2031131.2,-0.046966553
120,7.3999753,344.74667,300.84354,7.3999753,344.78406,3.748059,3.608226,294.44077,272.55,344.56476,0.014865567,344.7819,344.82004,0.9992101,1.0,0.4036255,0.36120173,1310387.9,253124.98,343.14993,343.14993,-4163.4756,1.0,7200.0,2729751.1617488055,1364505.0,1365666.9,1310387.9,253124.98,7.356285,2730172.0,1563512.9,1563520.2,0.18075562
135,7.2787895,344.67282,298.92725,7.2787895,344.522,3.7022104,3.5646396,294.60095,272.47186,344.95377,0.014622121,344.6199,344.4721,0.9992101,1.0,0.21981867,0.1835366,713650.94,128619.81,343.1499,343.1499,-4188.1304,1.0,8100.0,2826622.4565440495,1398484.1,1393873.5,713650.94,128619.81,7.26685,2792357.5,842270.75,842278.0,0.34094238
150,-0.06307841,342.0002,297.5288,-0.06307841,342.1289,-1.3431542e-08,-1.341666e-08,294.69034,272.3,344.0453,-0.00012671614,341.86096,342.0054,0.4562791,0.4570479,0.0,0.0,0.0,0.0,343.14987,343.14987,-99.21925,0.0,9000.0,-24756.433125731193,-11781.779,-11815.874,0.0,0.0,-2.6848202e-08,-23597.652,0.0,-2.6848202e-08,0.43032837
165,-0.042387918,342.21878,297.55988,-0.042387918,342.3026,-3.826251e-39,-3.821831e-39,294.71942,272.1281,344.02002,-8.515169e-05,341.8702,342.01193,-8.181607e-14,-8.1896465e-14,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,9900.0,-16615.870861064595,-7950.5913,-7965.516,0.0,0.0,-7.648082e-39,-15916.107,0.0,-7.648082e-39,0.45941162
180,-0.04238795,342.36414,297.55988,-0.04238795,342.42062,7.12381e-40,7.11506e-40,294.71777,272.05,344.02002,-8.515176e-05,341.8791,342.01828,-4.9462006e-17,-4.962578e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303154,0.0,10800.0,-16615.885058830227,-7976.475,-7986.5317,0.0,0.0,1.423887e-39,-15963.007,0.0,1.423887e-39,0.45776367
195,-0.042387903,342.47388,297.55988,-0.042387903,342.5119,0.0,0.0,294.70187,272.05,344.02002,-8.515166e-05,341.88824,342.0249,-2.2516418e-20,7.977547e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,11700.0,-16615.865181958347,-7996.0034,-8002.773,0.0,0.0,0.0,-15998.776,0.0,0.0,0.441864
210,-0.042387903,342.55948,297.55988,-0.042387903,342.58508,0.0,0.0,294.68097,272.05,344.02002,-8.515166e-05,341.8977,342.03183,-8.426226e-33,2.9854045e-33,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,12600.0,-16615.865181958347,-8011.243,-8015.8013,0.0,0.0,0.0,-16027.045,0.0,0.0,0.42095947
225,-0.042387903,342.6289,297.55988,-0.042387903,342.64618,0.0,0.0,294.65692,272.05,344.02002,-8.515166e-05,341.90747,342.039,8.80448e-39,-3.11942e-39,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,13500.0,-16615.865181958347,-8023.603,-8026.678,0.0,0.0,0.0,-16050.281,0.0,0.0,0.39691162
240,-0.042387903,342.68747,297.55988,-0.042387903,342.6991,0.0,0.0,294.6374,272.05,344.02002,-8.515166e-05,341.91754,342.04648,-9e-44,3.2e-44,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,14400.0,-16615.865181958347,-8034.029,-8036.099,0.0,0.0,0.0,-16070.128,0.0,0.0,0.37738037
255,-0.042387903,342.73862,297.55988,-0.042387903,342.74646,0.0,0.0,294.6085,272.05,344.02002,-8.515166e-05,341.9279,342.05423,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,15300.0,-16615.865181958347,-8043.135,-8044.5312,0.0,0.0,0.0,-16087.666,0.0,0.0,0.34848022
270,-0.042387903,342.78445,297.55988,-0.042387903,342.78973,0.0,0.0,294.58502,272.05,344.02002,-8.515166e-05,341.93854,342.06226,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,16200.0,-16615.865181958347,-8051.295,-8052.235,0.0,0.0,0.0,-16103.529,0.0,0.0,0.3250122
285,-0.042387903,342.8264,297.55988,-0.042387903,342.82993,0.0,0.0,294.5552,272.05,344.02002,-8.515166e-05,341.9494,342.07053,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30311,0.0,17100.0,-16615.865181958347,-8058.7603,-8059.39,0.0,0.0,0.0,-16118.15,0.0,0.0,0.29519653
