minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,260.95,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13065,-0.04238848,293.15,0.0,0.0,293.11307,260.89532,293.14868,-8.515283e-05,293.15,293.15,-5.444679e-18,1.10215206e-16,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,900.0,-6.4503893282719105,-3.4445815,-3.4445815,0.0,0.0,0.0,-6.889163,0.0,0.0,-1.1469421
30,12.436705,307.23947,293.2654,12.436547,293.32623,6.881647,6.598343,293.07886,260.86667,303.9247,0.024983529,307.58508,293.33536,0.99901456,0.65744156,1.0,0.0,1623272.0,0.0,343.15,343.15,-4295.901,1800.0,1118489.2933274568,729923.3,3176.9216,1623272.0,0.0,13.47999,733100.25,1623272.0,1623285.5,-1.1811523
45,12.4371195,295.99207,295.6352,12.987596,346.7575,6.9472737,6.6558557,293.1152,260.8797,320.19598,0.025537437,295.99792,346.88013,0.014500997,1.0,0.0,0.9279168,0.0,932997.2,343.15,343.15,-4222.647,2700.0,2634322.525832158,18641.56,2788615.0,0.0,932997.2,13.603129,2807256.5,932997.2,933010.8,-1.1448059
60,12.420956,316.7758,299.8709,12.420956,354.81775,6.7525764,6.4724216,293.26288,260.95,331.12015,0.02495205,316.9438,355.0277,0.99924034,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4215.0054,3600.0,3274876.6466767164,881893.9,2866467.5,1623272.0,1005475.0,13.224998,3748361.5,2628747.0,2628760.2,-0.99713135
75,11.259454,325.3212,302.76825,11.259455,343.48816,6.0141644,5.773862,293.52844,261.06116,340.51407,0.022618748,325.38266,342.83884,0.99924034,1.0,1.0,0.014008114,1623272.0,14084.809,343.15,343.15,-4198.6323,4500.0,3585805.3536383067,1066522.2,1925632.8,1623272.0,14084.809,11.788027,2992155.0,1637356.8,1637368.5,-0.7315674
90,9.53745,330.51672,304.12564,9.53745,344.6681,4.965314,4.774405,293.82504,261.1839,334.99765,0.01915947,330.57697,344.863,0.99924034,1.0,1.0,0.61340475,1623272.0,616763.2,343.15,343.15,-4174.966,5400.0,2484263.577512456,1057155.2,1624020.6,1623272.0,616763.2,9.739719,2681176.0,2240035.2,2240045.0,-0.43496704
105,7.65859,336.86652,302.759,7.65859,343.91595,3.881534,3.736135,294.09006,261.3147,340.32416,0.015385089,336.9659,343.84415,0.99924034,1.0,1.0,0.3180123,1623272.0,319753.4,343.15,343.15,-4153.147,6300.0,2427361.7341401065,1097105.0,1323857.8,1623272.0,319753.4,7.617669,2420962.8,1943025.4,1943033.0,-0.1699524
120,8.460784,340.21408,301.26495,8.460784,343.14438,4.3435893,4.1794524,294.3204,261.45,340.90787,0.01699659,340.12704,343.1323,0.99924034,1.0,1.0,0.35259894,1623272.0,354529.44,343.15,343.15,-4168.721,7200.0,2829936.3508497775,1384068.6,1488197.6,1623272.0,354529.44,8.523042,2872266.2,1977801.5,1977810.0,0.060394287
135,7.930875,345.16232,299.68753,7.930875,342.4081,4.027516,3.876064,294.51044,261.59702,344.82843,0.015932074,345.0682,342.30408,0.99924034,1.0,0.6943295,0.13132705,1127085.6,132046.08,339.817,339.817,-4147.979,8100.0,3020590.211120168,1514750.6,1423008.8,1127085.6,132046.08,7.9035797,2937759.5,1259131.8,1259139.6,0.25042725
