minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
43200,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,265.35,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,2592000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
43215,-0.04238848,293.15,293.13318,-0.04238848,293.15,0.0,0.0,293.13232,265.4752,293.14932,-8.5152824e-05,293.15,293.15,-3.9006395e-19,1.8711899e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,2592900.0,-5.773698245503667,-2.9936347,-2.9936347,0.0,0.0,0.0,-5.9872694,0.0,0.0,-1.1276855
43230,12.135385,307.56512,293.26425,12.135232,293.33875,6.6820765,6.4099402,293.12418,265.63382,304.25247,0.024378221,307.92365,293.34885,0.99901205,0.65825737,1.0,0.0,1623272.0,0.0,343.15,343.15,-4290.005,2593800.0,1125067.717581669,728895.6,3796.778,1623272.0,0.0,13.092016,732692.4,1623272.0,1623285.1,-1.1358337
43245,12.05764,296.0536,295.54535,12.589644,347.4615,6.693653,6.4170218,293.17368,265.80054,320.5763,0.02475656,296.0568,347.57947,0.014518573,1.0,0.0,0.9080703,0.0,913042.0,343.15,343.15,-4216.331,2594700.0,2602656.377803646,25738.322,2745144.0,0.0,913042.0,13.110675,2770882.2,913042.0,913055.1,-1.0863342
43260,11.889998,317.1594,299.6038,11.889998,355.7792,6.410845,6.149756,293.33636,265.95,331.16632,0.023885427,317.34613,356.02307,0.9991854,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4206.814,2595600.0,3166314.9838533513,876691.56,2805287.5,1623272.0,1005475.0,12.5606,3681979.0,2628747.0,2628759.5,-0.923645
43275,10.575228,326.35413,302.26495,10.575228,336.17435,5.590868,5.371326,293.6082,266.10257,335.76474,0.021244226,326.42108,335.80035,0.9991854,1.0,1.0,0.13870643,1623272.0,139465.84,343.15,343.15,-4188.9746,2596500.0,2989043.540837736,1069943.6,1506118.1,1623272.0,139465.84,10.962194,2576061.8,1762737.9,1762748.9,-0.65182495
43290,8.739161,332.0303,303.2848,8.739161,346.78717,4.497656,4.3269205,293.90097,266.26617,337.01794,0.017555812,332.11288,346.91217,0.9991854,1.0,1.0,0.54004097,1623272.0,542997.7,343.15,343.15,-4165.3496,2597400.0,2487294.295965967,1055088.9,1596731.9,1623272.0,542997.7,8.824576,2651820.8,2166269.8,2166278.5,-0.3590393
43305,8.111194,338.5214,301.96793,8.111194,342.71466,4.1196766,3.9642525,294.16513,266.3967,341.1788,0.01629431,338.54495,342.63,0.9991854,1.0,1.0,0.2973132,1623272.0,298941.0,343.15,343.15,-4139.4023,2598300.0,2683439.519750914,1245267.4,1388119.5,1623272.0,298941.0,8.083929,2633387.0,1922213.0,1922221.1,-0.09487915
43320,7.774563,345.287,300.40323,7.774563,344.9167,3.9268422,3.7792032,294.3944,266.45,343.43164,0.0156180635,345.3611,344.94553,0.9991854,1.0,0.93852377,0.27709743,1523479.2,278614.56,342.039,342.039,-4132.264,2599200.0,2822485.970734988,1465596.8,1453505.2,1523479.2,278614.56,7.706045,2919102.0,1802093.8,1802101.5,0.13439941
43335,7.352824,344.2398,298.79654,7.352824,340.46344,3.7075002,3.5689862,294.57144,266.45,343.62827,0.014770847,344.19638,340.40424,0.9991854,1.0,0.47046453,0.07440542,763691.9,74812.78,338.706,338.706,-4146.209,2600100.0,2781250.74463228,1403372.8,1286751.5,763691.9,74812.78,7.2764864,2690124.2,838504.6,838511.9,0.31143188
43350,7.125944,337.69354,297.43222,7.125944,336.67413,3.5828986,3.449338,294.67963,266.45,338.871,0.014315074,337.46036,336.6209,0.9991854,1.0,0.0,0.0,0.0,0.0,336.484,336.484,-4145.264,2601000.0,2491436.8075262927,1204979.8,1174469.9,0.0,0.0,7.0322366,2379449.5,0.0,7.0322366,0.4196167
43365,-0.042387918,336.36203,297.31204,-0.042387918,336.41287,0.0,0.0,294.72485,266.45,338.1832,-8.515169e-05,336.09558,336.24673,-1.0645417e-12,-1.0678766e-12,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,2601900.0,-14617.040989469653,-6952.04,-6961.0913,0.0,0.0,0.0,-13913.131,0.0,0.0,0.46484375
43380,-0.042387918,336.4795,297.31204,-0.042387918,336.51376,0.0,0.0,294.73203,266.45,338.1832,-8.515169e-05,336.1095,336.24994,-6.888059e-20,-5.697442e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,2602800.0,-14617.040989469653,-6972.9517,-6979.053,0.0,0.0,0.0,-13952.005,0.0,0.0,0.47201538
