minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,272.55,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.1253,-0.04238848,293.15,0.0,0.0,293.1131,272.55,293.14868,-8.515283e-05,293.15,293.15,5.0989455e-19,-5.111927e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,1.0,900.0,-8.360403088758517,-4.395373,-4.395373,0.0,0.0,0.0,-8.790746,0.0,0.0,-1.1469116
30,12.396136,318.47083,293.35028,12.395981,293.6014,6.8552613,6.5734735,293.08554,272.55,313.74692,0.024902035,318.89835,293.6227,0.9990153,0.6582559,1.0,0.0,3246544.0,0.0,343.15,343.15,-4295.5103,1.0,1800.0,2133254.5851631267,1307870.4,13074.567,3246544.0,0.0,13.428735,1320945.0,3246544.0,3246557.5,-1.174469
45,12.141482,301.6648,296.9669,12.679231,336.68582,6.7503567,6.4704976,293.16492,272.55,319.80017,0.024930758,301.53912,336.8038,0.014491511,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4218.0073,1.0,2700.0,2390854.4049434,239566.11,2115143.2,0.0,700785.6,13.220854,2354709.2,700785.6,700798.9,-1.0950928
60,11.998291,326.17532,300.5811,11.998291,345.9118,6.4799647,6.215113,293.32523,272.55,330.33563,0.024102973,326.6097,345.9772,0.9991332,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4208.3945,1.0,3600.0,3012126.770083171,1289765.9,2284342.8,3246544.0,700785.6,12.695078,3574108.5,3947329.5,3947342.2,-0.93478394
75,10.799429,345.39282,302.40506,10.799429,340.04727,5.7285366,5.502379,293.58377,272.55,345.2793,0.021694617,345.4433,339.79953,0.9991332,1.0,0.94173265,0.5157022,3057376.5,361396.7,343.15,343.15,-4192.055,1.0,4500.0,3906588.7015143177,1949821.8,1707360.5,3057376.5,361396.7,11.230915,3657182.2,3418773.2,3418784.5,-0.676239
90,8.753304,345.2311,303.88693,8.753304,345.879,4.506206,4.3351183,293.90833,272.55,344.7499,0.017584223,345.22256,345.9438,0.9991332,1.0,0.68652844,0.6725749,2228844.8,471330.8,343.15,343.15,-4165.8687,1.0,5400.0,3017883.5232023173,1519972.1,1543791.0,2228844.8,471330.8,8.841324,3063763.0,2700175.5,2700184.2,-0.35168457
105,9.696879,343.6292,302.83087,9.69688,343.3406,5.04462,4.8498144,294.20963,272.55,344.45908,0.019479744,343.47232,343.1866,0.9991332,1.0,0.5360781,0.4660193,1740401.1,326579.62,343.15,343.15,-4163.3496,1.0,6300.0,3405808.4319390673,1661589.6,1649835.9,1740401.1,326579.62,9.894434,3311425.5,2066980.8,2066990.6,-0.05038452
120,7.574102,344.78888,300.87274,7.574102,344.77335,3.8245015,3.6811886,294.43814,272.55,344.6887,0.015215364,344.7664,344.75763,0.9991332,1.0,0.3582674,0.31630206,1163130.9,221659.94,340.928,340.928,-4141.1987,1.0,7200.0,2800037.5943572237,1397026.2,1396532.1,1163130.9,221659.94,7.50569,2793558.5,1384790.8,1384798.2,0.1781311
135,7.2065597,339.60233,298.95493,7.20656,339.32108,3.632649,3.4972293,294.5987,272.47186,340.7388,0.014477021,339.5603,339.2753,0.9991332,1.0,0.14473532,0.11354409,469889.6,79570.07,337.595,337.595,-4152.2866,1.0,8100.0,2540605.331508243,1230297.2,1221784.6,469889.6,79570.07,7.129878,2452082.0,549459.7,549466.8,0.33868408
150,0.093178466,334.9414,297.4908,0.093178466,335.0057,0.002083748,0.0020804591,294.68582,272.3,336.6848,0.00018718316,334.8478,334.92273,0.9065908,0.9074576,0.0,0.0,0.0,0.0,335.373,335.373,-100.128716,0.0,9000.0,30813.11909625848,14656.272,14681.437,0.0,0.0,0.0041642073,29337.709,0.0,0.0041642073,0.42581177
165,-0.042387918,335.1003,297.5441,-0.042387918,335.142,0.0,0.0,294.71332,272.1281,336.6431,-8.515169e-05,334.85437,334.92764,4.0214586e-16,4.0319636e-16,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,9900.0,-13983.25235430793,-6686.1045,-6693.526,0.0,0.0,0.0,-13379.631,0.0,0.0,0.4533081
180,-0.042387918,335.20474,297.5441,-0.042387918,335.23282,0.0,0.0,294.71152,272.05,336.6431,-8.515169e-05,334.8607,334.93243,-1.6974863e-18,-3.4900753e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,10800.0,-13983.25235430793,-6704.6963,-6709.695,0.0,0.0,0.0,-13414.391,0.0,0.0,0.45150757
195,-0.042387918,335.28412,297.5441,-0.042387918,335.30304,0.0,0.0,294.69553,272.05,336.6431,-8.515169e-05,334.86725,334.93744,-5.9102985e-19,-9.643673e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,11700.0,-13983.25235430793,-6718.8276,-6722.1963,0.0,0.0,0.0,-13441.023,0.0,0.0,0.43551636
210,-0.042387918,335.34668,297.5441,-0.042387918,335.3594,0.0,0.0,294.6749,272.05,336.6431,-8.515169e-05,334.87402,334.94266,-3.373091e-33,-5.5037803e-34,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,12600.0,-13983.25235430793,-6729.9653,-6732.231,0.0,0.0,0.0,-13462.196,0.0,0.0,0.41488647
225,-0.042387918,335.39795,297.5441,-0.042387918,335.40656,0.0,0.0,294.65085,272.05,336.6431,-8.515169e-05,334.88107,334.94812,3.780532e-39,6.16859e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,13500.0,-13983.25235430793,-6739.093,-6740.625,0.0,0.0,0.0,-13479.718,0.0,0.0,0.39083862
240,-0.042387918,335.44177,297.5441,-0.042387918,335.44757,0.0,0.0,294.63132,272.05,336.6431,-8.515169e-05,334.88834,334.9538,-3.8e-44,-6e-45,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,14400.0,-13983.25235430793,-6746.8945,-6747.927,0.0,0.0,0.0,-13494.821,0.0,0.0,0.37130737
255,-0.042387918,335.4806,297.5441,-0.042387918,335.4845,0.0,0.0,294.60242,272.05,336.6431,-8.515169e-05,334.89584,334.9597,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,15300.0,-13983.25235430793,-6753.8057,-6754.501,0.0,0.0,0.0,-13508.307,0.0,0.0,0.34240723
270,-0.042387918,335.51584,297.5441,-0.042387918,335.51846,0.0,0.0,294.57895,272.05,336.6431,-8.515169e-05,334.9036,334.96582,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,16200.0,-13983.25235430793,-6760.0806,-6760.548,0.0,0.0,0.0,-13520.629,0.0,0.0,0.3189392
285,-0.042387918,335.54846,297.5441,-0.042387918,335.55023,0.0,0.0,294.5491,272.05,336.6431,-8.515169e-05,334.91156,334.97214,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,17100.0,-13983.25235430793,-6765.8887,-6766.2036,0.0,0.0,0.0,-13532.092,0.0,0.0,0.28909302
300,-0.042387918,335.57877,297.5441,-0.042387918,335.58,0.0,0.0,294.51984,272.05,336.6431,-8.515169e-05,334.9197,334.97864,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,18000.0,-13983.25235430793,-6771.2837,-6771.501,0.0,0.0,0.0,-13542.785,0.0,0.0,0.25982666
315,-0.042387918,335.6068,297.5441,-0.042387918,335.60764,0.0,0.0,294.4863,272.1281,336.6431,-8.515169e-05,334.92804,334.98532,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,18900.0,-13983.25235430793,-6776.2764,-6776.423,0.0,0.0,0.0,-13552.699,0.0,0.0,0.22628784
330,-0.042387918,335.63223,297.5441,-0.042387918,335.63278,0.0,0.0,294.45276,272.3,336.6431,-8.515169e-05,334.9365,334.99213,-1.7212945e-22,4.7780343e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,19800.0,-13983.25235430793,-6780.8022,-6780.9,0.0,0.0,0.0,-13561.702,0.0,0.0,0.19274902
345,-0.042387918,335.65463,297.5441,-0.042387918,335.655,0.0,0.0,294.4287,272.47186,336.6431,-8.515169e-05,334.94504,334.99902,-6.0560185e-27,1.6810524e-26,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,20700.0,-13983.25235430793,-6784.79,-6784.855,0.0,0.0,0.0,-13569.645,0.0,0.0,0.16870117
360,-0.042387918,335.6734,297.5441,-0.042387918,335.67365,0.0,0.0,294.39877,272.55,336.6431,-8.515169e-05,334.9536,335.00595,-7.8404166e-22,-3.6969569e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,21600.0,-13983.25235430793,-6788.1313,-6788.175,0.0,0.0,0.0,-13576.307,0.0,0.0,0.13876343
375,-0.042387918,335.68732,297.54428,-0.042387918,335.6875,0.0,0.0,294.37646,272.55,336.64258,-8.5151696e-05,334.96216,335.01288,2.506045e-19,-1.8396843e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,22500.0,-13983.002522101273,-6790.576,-6790.609,0.0,0.0,0.0,-13581.186,0.0,0.0,0.11645508
390,-0.042387918,335.6957,297.55017,-0.042387918,335.6958,0.0,0.0,294.34872,272.55,336.62482,-8.5151696e-05,334.97055,335.01968,-4.7504636e-19,-5.205817e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,23400.0,-13974.544002483213,-6791.0215,-6791.038,0.0,0.0,0.0,-13582.06,0.0,0.0,0.0887146
405,-0.04238792,335.69754,297.61343,-0.04238792,335.69763,0.0,0.0,294.3222,272.55,336.43726,-8.51517e-05,334.97873,335.02634,-3.9197184e-19,-1.5290472e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,0.0,24300.0,-13884.841224074362,-6780.0854,-6780.102,0.0,0.0,0.0,-13560.1875,0.0,0.0,0.062194824
420,-0.04238793,335.69165,298.03406,-0.04238793,335.6917,0.0,0.0,294.29144,272.55,335.2353,-8.515172e-05,334.98657,335.03268,-1.5081849e-18,-1.9814334e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.3032,0.0,25200.0,-13304.545345481867,-6704.155,-6704.1655,0.0,0.0,0.0,-13408.32,0.0,0.0,0.031433105
435,-0.042387936,335.67685,299.19928,-0.042387936,335.67688,0.0,0.0,294.2659,272.55,331.8203,-8.515173e-05,334.99396,335.03867,-7.6251753e-19,5.1931793e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303215,0.0,26100.0,-11666.497295629963,-6494.077,-6494.0825,0.0,0.0,0.0,-12988.16,0.0,0.0,0.0058898926
450,-0.042387955,335.65152,300.81363,-0.042387955,335.65155,0.0,0.0,294.23065,272.55,326.52646,-8.515177e-05,335.00073,335.04413,-3.203392e-19,-5.125842e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30324,0.0,27000.0,-9195.87027352886,-6202.169,-6202.1743,0.0,0.0,0.0,-12404.344,0.0,0.0,-0.02935791
465,-0.042387974,335.6146,302.69998,-0.042387974,335.6146,0.0,0.0,294.1977,272.55,319.34735,-8.515181e-05,335.00674,335.04895,-1.8431635e-19,2.3089674e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303276,0.0,27900.0,-5953.7254430839685,-5859.7715,-5859.7715,0.0,0.0,0.0,-11719.543,0.0,0.0,-0.062316895
480,-0.042387996,335.56454,304.27893,-0.042387996,335.56454,0.0,0.0,294.1695,272.55,311.80307,-8.5151856e-05,335.01184,335.05295,-8.676435e-19,3.2730486e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30331,0.0,28800.0,-2690.916633115581,-5569.765,-5569.765,0.0,0.0,0.0,-11139.53,0.0,0.0,-0.09051514
495,-0.04238803,335.50015,305.2119,-0.04238803,335.50015,0.0,0.0,294.13513,272.45624,304.90024,-8.515192e-05,335.0158,335.056,9.190417e-19,4.826248e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,29700.0,111.46721249768454,-5392.2065,-5392.2065,0.0,0.0,0.0,-10784.413,0.0,0.0,-0.12487793
510,-0.04238806,335.42023,305.3109,-0.04238806,335.42023,0.0,0.0,294.10663,272.25833,299.75418,-8.515198e-05,335.0185,335.05795,-1.7116573e-18,6.603612e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303406,0.0,30600.0,1987.3003355755702,-5360.3564,-5360.3564,0.0,0.0,0.0,-10720.713,0.0,0.0,-0.15338135
525,-0.042388096,335.32352,304.68607,-0.042388096,335.32352,0.0,0.0,294.07553,272.08124,296.61493,-8.515205e-05,335.0197,335.05862,2.598513e-19,1.0134643e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30347,0.0,31500.0,2886.550119186593,-5454.3853,-5454.3853,0.0,0.0,0.0,-10908.7705,0.0,0.0,-0.18447876
540,-0.042388134,335.20822,303.6218,-0.042388134,335.20822,0.0,0.0,294.0462,272.05,295.06967,-8.5152125e-05,335.0192,335.0578,-3.9290622e-19,7.9034554e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30352,0.0,32400.0,3058.572456343178,-5623.3364,-5623.3364,0.0,0.0,0.0,-11246.673,0.0,0.0,-0.21380615
555,-0.04238817,335.07266,302.40332,-0.04238817,335.0727,0.0,0.0,294.0164,272.14862,294.44452,-8.5152205e-05,335.01663,335.0552,4.2280192e-19,5.897484e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30358,0.0,33300.0,2846.3798188225196,-5816.1333,-5816.1387,0.0,0.0,0.0,-11632.271,0.0,0.0,-0.24362183
570,-0.04238821,334.91635,301.19046,-0.04238821,334.91635,0.0,0.0,293.9874,272.27136,294.21286,-8.515228e-05,335.0119,335.0507,-3.2095166e-19,-7.385337e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30364,0.0,34200.0,2495.4658873390654,-6004.2363,-6004.2363,0.0,0.0,0.0,-12008.473,0.0,0.0,-0.27261353
585,11.773837,346.65488,294.0996,0.10200264,332.86285,6.8495054,0.0,293.9695,272.4084,332.01334,0.011928492,346.81454,332.49173,0.9998611,7.707991e-17,0.92977864,0.0,3018567.2,0.0,343.15,343.15,-4206.969,1.0,35100.0,1899465.1009344182,2598864.2,16606.604,3018567.2,0.0,6.8495054,2615470.8,3018567.2,3018574.0,-0.29049683
600,5.4240694,334.93497,294.61957,5.479205,344.6989,2.6802545,2.5814536,294.0467,272.55,347.76257,0.010951615,333.99396,344.64532,0.031355727,1.0,0.0,0.40891087,0.0,286558.84,343.15,343.15,-4131.714,1.0,36000.0,2444407.2723345584,918428.8,1152459.0,0.0,286558.84,5.2617083,2070887.8,286558.84,286564.1,-0.21331787
615,5.3165393,320.11917,295.8134,5.31654,348.13718,2.6082363,2.5121305,294.18317,272.72284,330.60077,0.010680222,322.16083,349.6298,0.9990241,1.0,1.0,1.0,3246544.0,700785.6,340.928,340.928,-4129.1694,1.0,36900.0,1560455.3270098506,542735.2,1168362.4,3246544.0,700785.6,5.120367,1711097.5,3947329.5,3947334.5,-0.07684326
630,7.0672903,341.96307,296.32388,7.0672903,332.1684,3.5746377,3.4418895,294.30182,272.92032,341.68582,0.014197247,341.73135,332.15448,0.9990242,1.0,0.21147521,0.16457029,686563.56,115328.484,336.484,336.484,-4174.3047,1.0,37800.0,2704861.5283886194,1354690.8,1063959.0,686563.56,115328.484,7.016527,2418649.8,801892.06,801899.06,0.041809082
645,8.140005,333.9693,296.13776,8.140006,336.07364,4.178553,4.021632,294.4001,273.0826,335.98993,0.01635219,333.9355,335.98505,0.9990242,1.0,0.09618833,0.07338966,312279.62,51430.414,333.151,333.151,-4184.8423,1.0,38700.0,2737015.2205883185,1293385.5,1365329.0,312279.62,51430.414,8.200186,2658714.5,363710.03,363718.22,0.14007568
660,-0.06308747,330.88974,295.83582,-0.06308748,330.5191,-1.0307218e-08,-1.0295797e-08,294.4527,273.15,332.03827,-0.00012673436,330.8062,330.4488,0.45055214,0.45151624,0.0,0.0,0.0,0.0,330.929,330.929,-99.219215,0.0,39600.0,-19269.99832739522,-9288.146,-9189.941,0.0,0.0,-2.0603014e-08,-18478.088,0.0,-2.0603014e-08,0.19268799
675,-0.042387918,330.93652,296.22113,-0.042387918,330.69376,0.0,0.0,294.47485,273.15,331.7264,-8.5151696e-05,330.80884,330.4548,6.0211784e-14,6.0453893e-14,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,40500.0,-12698.006050163358,-6180.3555,-6137.1357,0.0,0.0,0.0,-12317.491,0.0,0.0,0.21484375
690,-0.042387918,330.97266,296.2242,-0.042387918,330.80905,0.0,0.0,294.47174,273.15,331.72336,-8.5151696e-05,330.8115,330.46054,2.0369046e-19,3.486407e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,41400.0,-12695.812292172093,-6186.2393,-6157.113,0.0,0.0,0.0,-12343.352,0.0,0.0,0.21173096
705,-0.042387918,331.00397,296.22433,-0.042387918,330.8938,0.0,0.0,294.45905,273.15,331.7232,-8.515169e-05,330.81436,330.46646,-2.3070823e-20,8.954179e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,42300.0,-12695.712979391561,-6191.792,-6172.1787,0.0,0.0,0.0,-12363.971,0.0,0.0,0.19903564
720,-0.042387918,331.03214,296.22433,-0.042387918,330.9579,0.0,0.0,294.4402,273.15,331.7232,-8.515169e-05,330.81744,330.47253,-1.03526e-18,7.014738e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,43200.0,-12695.712979391561,-6196.8066,-6183.588,0.0,0.0,0.0,-12380.395,0.0,0.0,0.18017578
