minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,272.55,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13654,-0.04238848,293.15,0.0,0.0,293.11307,272.55,293.14853,-8.515283e-05,293.15,293.15,8.765227e-18,-8.3462946e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,1.0,900.0,-4.289345187835636,-2.3959944,-2.3959944,0.0,0.0,0.0,-4.791989,0.0,0.0,-1.1469421
30,12.394191,318.78284,293.36267,12.394032,293.66968,6.854496,6.5728235,293.08606,272.55,313.82715,0.024898123,319.20767,293.69366,0.9990478,0.6546169,1.0,0.0,3246544.0,0.0,343.15,343.15,-4295.851,1.0,1800.0,2140013.7310370156,1323262.0,15981.221,3246544.0,0.0,13.42732,1339243.2,3246544.0,3246557.5,-1.1739502
45,12.10682,301.93536,297.0142,12.686391,336.82196,6.7418547,6.4624996,293.1672,272.55,320.0256,0.024903134,301.80765,336.94113,0.013922735,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4218.082,1.0,2700.0,2406836.4790180568,250234.98,2121071.0,0.0,700785.6,13.204354,2371306.0,700785.6,700798.8,-1.092804
60,11.970942,326.54697,300.59598,11.970942,346.1969,6.462479,6.1985836,293.32922,272.55,330.63034,0.02404803,326.9796,346.26382,0.9997783,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4207.9897,1.0,3600.0,3033522.5288850777,1304762.6,2292721.0,3246544.0,700785.6,12.661062,3597483.5,3947329.5,3947342.2,-0.93078613
75,10.745317,345.59576,302.4403,10.745317,339.2776,5.695217,5.470672,293.59045,272.55,345.03,0.021585915,345.643,339.04727,0.9997781,1.0,0.9325453,0.5073788,3027549.2,355563.78,343.15,343.15,-4191.3027,1.0,4500.0,3861217.346379249,1947620.1,1662478.8,3027549.2,355563.78,11.16589,3610099.0,3383113.0,3383124.2,-0.66955566
90,8.697157,345.22845,303.80325,8.697157,345.63544,4.47368,4.3039627,293.9133,272.55,344.65176,0.017471433,345.2194,345.7023,0.9997781,1.0,0.6769212,0.66229534,2197654.2,464127.06,343.15,343.15,-4165.1865,1.0,5400.0,2997464.42414762,1513182.1,1528048.5,2197654.2,464127.06,8.777643,3041230.5,2661781.2,2661790.0,-0.3467102
105,9.426866,342.5531,302.7428,9.426866,342.46484,4.853016,4.6659193,294.21182,272.55,344.10202,0.018937321,342.5846,342.4661,0.9997781,1.0,0.5555923,0.48463276,1803754.8,339623.66,343.15,343.15,-4130.9995,1.0,6300.0,3289578.1247109766,1576202.8,1572708.5,1803754.8,339623.66,9.518935,3148911.2,2143378.5,2143388.0,-0.048187256
120,8.434996,344.40063,300.80893,8.434997,344.4105,4.2991414,4.136199,294.43768,272.55,344.65335,0.016944787,344.49017,344.4878,0.9997781,1.0,0.3797602,0.3346153,1232908.1,234493.6,340.928,340.928,-4138.167,1.0,7200.0,3120324.316586925,1544322.5,1544671.9,1232908.1,234493.6,8.435341,3088994.5,1467401.8,1467410.1,0.17767334
135,12.2597475,339.31226,298.91232,12.2597475,339.05078,6.6702023,6.395529,294.59708,272.47186,340.59058,0.024628205,339.2153,338.96155,0.9997781,1.0,0.1118402,0.08246758,363094.12,57792.094,337.595,337.595,-4227.648,1.0,8100.0,4311134.404832626,2080230.6,2066767.0,363094.12,57792.094,13.065731,4146997.5,420886.22,420899.28,0.33706665
