minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.18819001,293.15,293.15,-0.18819001,293.15,0.0,0.0,293.15,235.95,293.15,-0.00037804875,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.006154712,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.06336996,293.15,293.1333,-0.06336996,293.15,0.0,0.0,293.09222,236.01562,293.14743,-0.00012730183,293.15,293.15,-1.4660903e-19,-2.0791603e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30408,1.0,900.0,-7.554661087372239,-4.442937,-4.442937,0.0,0.0,0.0,-8.885874,0.0,0.0,-1.1677856
30,19.506475,319.0645,293.29196,19.50623,293.59982,7.719003,7.401997,293.0508,236.0625,315.09445,0.03918567,319.42776,293.62903,0.99901074,0.65762687,1.0,0.0,4853510.0,0.0,343.15,343.15,-4583.1235,1.0,1800.0,3588249.720951171,2111473.0,25221.898,4853510.0,0.0,15.121,2136695.0,4853510.0,4853525.0,-1.209198
45,18.164219,301.98227,297.13226,18.96944,336.94708,6.7622294,6.4819036,293.16974,236.09062,319.94086,0.037298296,301.86432,337.07257,0.014484935,1.0,0.0,1.0,0.0,1047658.7,343.15,343.15,-4222.205,1.0,2700.0,3573031.0265062144,370005.6,3172112.2,0.0,1047658.7,13.244133,3542117.8,1047658.7,1047671.94,-1.090271
60,17.178669,327.22647,300.58835,17.178669,347.75424,6.1694684,5.9215226,293.4092,236.1,331.19812,0.034509663,327.7002,347.84576,0.99916756,1.0,1.0,1.0,4853510.0,1047658.7,343.15,343.15,-4209.42,1.0,3600.0,4436598.1495069945,1921951.4,3403038.5,4853510.0,1047658.7,12.090991,5324990.0,5901168.5,5901180.5,-0.85079956
75,13.885744,347.6021,301.8684,13.885744,337.86487,4.839566,4.6546855,293.78476,236.09062,343.9447,0.027894614,347.619,337.83176,0.99916756,1.0,0.81450135,0.55033684,3953190.5,576565.2,343.15,343.15,-4191.6885,1.0,4500.0,4929548.35497053,2667195.2,2099318.0,3953190.5,576565.2,9.494251,4766513.0,4529755.5,4529765.0,-0.47525024
90,11.503005,344.17535,302.03906,11.503005,346.267,3.8903413,3.7443533,294.20822,236.0625,345.8844,0.02310801,344.1289,346.23993,0.99916756,1.0,0.51392704,0.49399486,2494350.0,517538.0,343.14996,343.14996,-4140.812,1.0,5400.0,4255349.493924677,2035714.6,2136767.5,2494350.0,517538.0,7.6346946,4172482.0,3011888.0,3011895.8,-0.05178833
105,11.307344,346.28006,300.1461,11.307344,345.58725,3.815108,3.6721003,294.53253,236.01562,345.8906,0.022714952,346.2786,345.58487,0.99916756,1.0,0.2907287,0.24265045,1411054.5,254214.84,343.14993,343.14993,-4137.0894,1.0,6300.0,4364153.964908973,2190941.5,2158039.2,1411054.5,254214.84,7.4872084,4348981.0,1665269.4,1665276.9,0.27252197
120,-0.09438508,343.51346,298.30692,-0.09438528,343.55746,-2.3296015e-14,-2.3270204e-14,294.70465,235.95,345.17508,-0.0001896073,343.40918,343.46512,0.08853482,0.08876694,0.0,0.0,0.0,0.0,343.1499,343.1499,-99.21885,0.0,7200.0,-37323.492119986666,-17920.656,-17938.14,0.0,0.0,-4.656622e-14,-35858.797,0.0,-4.656622e-14,0.4446411
135,-0.0633691,343.66437,298.30692,-0.0633691,343.6933,0.0,0.0,294.7599,235.81406,345.17508,-0.00012730011,343.41565,343.47015,-2.5965534e-14,-2.6084222e-14,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,8100.0,-25058.5544007464,-12071.896,-12079.597,0.0,0.0,0.0,-24151.492,0.0,0.0,0.49987793
150,-0.0633691,343.7683,298.30692,-0.0633691,343.7878,-1.1e-40,-1.09876e-40,294.75766,235.6125,345.17508,-0.00012730011,343.42197,343.47513,7.5274214e-16,7.5544296e-16,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,9000.0,-25058.5544007464,-12099.562,-12104.751,0.0,0.0,-2.19876e-40,-24204.312,0.0,-2.19876e-40,0.49765015
165,-0.063369274,343.84744,298.30692,-0.063369274,343.8606,1.841264e-39,1.839196e-39,294.74094,235.42969,345.17508,-0.00012730045,343.42853,343.48035,-4.4806936e-20,-5.7230307e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30356,0.0,9900.0,-25058.620284028166,-12120.654,-12124.155,0.0,0.0,3.68046e-39,-24244.809,0.0,3.68046e-39,0.4809265
