minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.18818447,293.15,293.15,-0.18818447,293.15,0.0,0.0,293.15,235.95,293.15,-0.0003780376,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.009138421,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.063369624,293.15,293.1083,-0.063369624,293.15,0.0,0.0,293.09225,236.01562,293.1474,-0.00012730116,293.15,293.15,-2.4503912e-19,-1.0700527e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30425,1.0,900.0,-20.901662993200176,-11.095099,-11.095099,0.0,0.0,0.0,-22.190199,0.0,0.0,-1.1677551
30,18.979193,306.8572,293.26965,18.978952,293.29984,11.243231,10.935493,293.0424,236.0625,303.48596,0.038126435,307.19583,293.30756,0.9990068,0.657416,1.0,0.0,2426755.0,0.0,343.15,343.15,-4313.8877,1.0,1800.0,1635947.9928800282,1083099.5,2405.8464,2426755.0,0.0,22.178724,1085505.4,2426755.0,2426777.2,-1.2176208
45,18.834564,296.2311,295.72192,19.668781,346.4961,11.23338,10.920768,293.09262,236.09062,320.2241,0.038674053,296.23862,346.62427,0.0144981155,1.0,0.0,0.9358049,0.0,1406666.8,343.15,343.15,-4225.8003,1.0,2700.0,3979911.980703696,40279.23,4194397.5,0.0,1406666.8,22.154148,4234676.5,1406666.8,1406688.9,-1.1673889
60,18.176718,317.3484,299.91068,18.176718,355.55176,10.444851,10.161933,293.31287,236.1,331.72528,0.03651461,317.53012,355.78174,0.9992534,1.0,1.0,1.0,2426755.0,1503162.5,343.15,343.15,-4212.2617,1.0,3600.0,4879131.27058473,1331233.6,4247763.5,2426755.0,1503162.5,20.606785,5578997.0,3929917.5,3929938.0,-0.94714355
75,15.01449,327.57883,302.36417,15.01449,336.71277,8.270859,8.058713,293.70078,236.09062,336.3369,0.030162117,327.6682,336.33075,0.9992534,1.0,1.0,0.12717721,2426755.0,191168.02,343.15,343.15,-4184.5576,1.0,4500.0,4303697.90542087,1590058.1,2166052.5,2426755.0,191168.02,16.32957,3756110.5,2617923.0,2617939.2,-0.5592346
90,10.778177,336.5319,302.69974,10.778177,347.5683,5.6149497,5.475762,294.09583,236.0625,338.64636,0.021651926,336.70386,347.73007,0.9992534,1.0,1.0,0.46499047,2426755.0,698956.25,343.15,343.15,-4150.1143,1.0,5400.0,3268917.2958843186,1531525.5,2031125.4,2426755.0,698956.25,11.090712,3562651.0,3125711.2,3125722.2,-0.16418457
105,10.752162,346.0437,300.8059,10.752162,343.34143,5.5944567,5.455732,294.41837,236.01562,344.08652,0.021599663,346.14926,343.3096,0.9992534,1.0,0.9104904,0.21120168,2209537.0,317470.44,342.039,342.039,-4145.915,1.0,6300.0,3926355.6775991786,2042897.2,1920865.1,2209537.0,317470.44,11.050188,3963762.5,2527007.5,2527018.5,0.15835571
120,10.752212,345.0355,298.7833,10.752213,341.2958,5.594477,5.455752,294.63867,235.95,344.0872,0.021599766,344.97385,341.24454,0.9992534,1.0,0.33954948,0.042308934,824003.4,63597.203,338.706,338.706,-4145.9077,1.0,7200.0,4109924.717603326,2088716.4,1919835.0,824003.4,63597.203,11.050229,4008551.5,887600.56,887611.6,0.3786621
135,-0.063367665,339.74847,297.88675,-0.06336766,339.19806,1.4e-44,1.4e-44,294.74194,235.81406,341.51428,-0.00012729721,339.59622,339.02057,-2.6620228e-09,-2.6684044e-09,0.0,0.0,0.0,0.0,343.15,343.15,-66.30218,0.0,8100.0,-23325.386447931785,-11141.255,-10994.764,0.0,0.0,2.8e-44,-22136.02,0.0,2.8e-44,0.4819336
