minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,260.95,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13046,-0.04238848,293.15,0.0,0.0,293.1131,260.89532,293.14865,-8.515283e-05,293.15,293.15,-1.1450782e-18,8.113523e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,900.0,-6.504961150000099,-3.47718,-3.47718,0.0,0.0,0.0,-6.95436,0.0,0.0,-1.1469116
30,12.854198,307.69467,293.2218,12.854036,293.33072,7.57414,7.265526,293.07782,260.86667,304.97733,0.025822215,307.99545,293.34525,0.9990088,0.6575261,1.0,0.0,1623272.0,0.0,343.15,343.15,-4574.7583,1800.0,1274925.36101704,781356.0,5880.11,1623272.0,0.0,14.839666,787236.1,1623272.0,1623286.9,-1.18219
45,12.438598,295.94278,295.63043,12.987945,346.74063,6.9464397,6.655017,293.1149,260.8797,320.1542,0.025539273,295.9492,346.86423,0.014517222,1.0,0.0,0.9290097,0.0,934096.0,343.15,343.15,-4221.712,2700.0,2630541.2628179854,16317.6875,2788029.0,0.0,934096.0,13.601457,2804346.8,934096.0,934109.6,-1.1451111
60,12.427315,316.7889,299.8888,12.427316,354.82343,6.7619057,6.481401,293.26285,260.95,331.1329,0.024964824,316.95682,355.0331,0.9992453,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4218.6343,3600.0,3276015.6232931875,882096.9,2867298.0,1623272.0,1005475.0,13.243307,3749395.0,2628747.0,2628760.2,-0.99716187
75,11.273313,325.31073,302.77957,11.273313,343.604,6.0366087,5.795581,293.5287,261.06116,340.56686,0.022646587,325.37195,342.9523,0.9992453,1.0,1.0,0.012908288,1623272.0,12978.961,343.15,343.15,-4209.204,4500.0,3594163.5222256538,1066803.4,1932951.8,1623272.0,12978.961,11.83219,2999755.0,1636251.0,1636262.9,-0.73132324
90,9.547079,330.50565,304.14038,9.547079,344.6347,4.9835634,4.7921534,293.82565,261.1839,334.97458,0.019178813,330.56586,344.8303,0.9992453,1.0,1.0,0.6139735,1623272.0,617335.0,343.15,343.15,-4186.3384,5400.0,2483725.9749986627,1057187.2,1623730.5,1623272.0,617335.0,9.775717,2680917.8,2240607.0,2240616.8,-0.4343567
105,7.662953,336.85495,302.76865,7.6629534,343.9021,3.8949368,3.7492278,294.09103,261.3147,340.32336,0.015393855,336.9549,343.8294,0.9992453,1.0,1.0,0.31740087,1623272.0,319138.66,343.14996,343.14996,-4165.5625,6300.0,2428069.9195786496,1097047.4,1323855.8,1623272.0,319138.66,7.6441646,2420903.0,1942410.6,1942418.2,-0.16897583
120,7.3939214,340.26328,301.26593,7.3939214,343.11063,3.7533603,3.6134946,294.32147,261.45,340.99777,0.014853406,340.425,343.18405,0.9992453,1.0,1.0,0.3508834,1623272.0,352804.47,343.14993,343.14993,-4173.5903,7200.0,2478643.321028011,1211041.9,1299464.9,1623272.0,352804.47,7.3668547,2510506.8,1976076.5,1976083.9,0.061462402
135,7.3146315,346.45032,299.6838,7.3146315,344.3905,3.696045,3.5581856,294.5115,261.59702,345.47287,0.014694123,346.47388,344.36337,0.9992453,1.0,0.7855456,0.19793047,1275154.1,199014.14,343.1499,343.1499,-4157.3906,8100.0,2825886.411612737,1436735.0,1373454.6,1275154.1,199014.14,7.2542305,2810189.5,1474168.2,1474175.5,0.25149536
150,7.194508,346.5794,298.1842,7.194508,344.14508,3.6267295,3.491559,294.6458,261.75568,345.20078,0.014452811,346.58563,344.15662,0.9992453,1.0,0.44236562,0.11313384,718079.7,113753.25,343.14987,343.14987,-4153.084,9000.0,2853990.8490323112,1462354.6,1388796.8,718079.7,113753.25,7.1182885,2851151.5,831832.94,831840.06,0.38580322
165,-0.06285828,341.19727,297.241,-0.063056864,342.45407,6.955687e-24,6.947977e-24,294.71994,261.9115,344.458,-0.0001264734,340.88843,342.36917,0.0012132076,0.0012163877,0.0,0.0,0.0,0.0,343.14987,343.14987,-98.93572,9900.0,-25081.122971174886,-11604.665,-11974.178,0.0,0.0,1.3903664e-23,-23578.844,0.0,1.3903664e-23,0.45993042
180,-0.042387914,341.6334,297.24484,-0.042387914,342.47113,-4.7476384e-38,-4.7703025e-38,294.74207,262.05,344.4548,-8.515168e-05,340.92523,342.37012,5.5417666e-13,5.5576957e-13,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,10800.0,-16884.03175290034,-7902.4595,-8051.6016,0.0,0.0,-9.517941e-38,-15954.061,0.0,-9.517941e-38,0.48205566
195,-0.0423879,341.9334,297.24484,-0.0423879,342.49805,0.0,0.0,294.73715,262.1075,344.4548,-8.515166e-05,340.9614,342.37134,8.4657143e-19,8.624878e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30281,11700.0,-16884.02742482964,-7955.869,-8056.3906,0.0,0.0,0.0,-16012.26,0.0,0.0,0.47714233
210,-0.04238808,342.15158,297.24484,-0.04238808,342.53177,0.0,0.0,294.72275,262.0784,344.4548,-8.515202e-05,340.99783,342.3729,1.7460083e-26,-5.337003e-25,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,12600.0,-16884.099559341335,-7994.7437,-8062.4287,0.0,0.0,0.0,-16057.172,0.0,0.0,0.46273804
225,-0.04238808,342.3142,297.24484,-0.04238808,342.5703,0.0,0.0,294.7017,262.0351,344.4548,-8.515202e-05,341.03455,342.37476,-8.1087206e-36,2.4785829e-34,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,13500.0,-16884.099559341335,-8023.6963,-8069.2905,0.0,0.0,0.0,-16092.986,0.0,0.0,0.4416809
240,-0.04238808,342.43964,297.24484,-0.04238808,342.6122,0.0,0.0,294.6839,262.05,344.4548,-8.515202e-05,341.07153,342.37695,7.713e-42,-2.35753e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,14400.0,-16884.099559341335,-8046.0264,-8076.75,0.0,0.0,0.0,-16122.776,0.0,0.0,0.42388916
255,-0.04238808,342.54016,297.24484,-0.04238808,342.65646,0.0,0.0,294.656,262.16647,344.4548,-8.515202e-05,341.1088,342.37946,0.0,3e-45,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,15300.0,-16884.099559341335,-8063.923,-8084.628,0.0,0.0,0.0,-16148.551,0.0,0.0,0.3959961
270,-0.04238808,342.6238,297.24484,-0.04238808,342.70227,0.0,0.0,294.63324,262.33408,344.4548,-8.515202e-05,341.1463,342.3823,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,16200.0,-16884.099559341335,-8078.815,-8092.783,0.0,0.0,0.0,-16171.598,0.0,0.0,0.37322998
285,-0.04238808,342.69608,297.24484,-0.04238808,342.74896,0.0,0.0,294.6038,262.48465,344.4548,-8.515202e-05,341.18405,342.38544,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,17100.0,-16884.099559341335,-8091.68,-8101.0957,0.0,0.0,0.0,-16192.775,0.0,0.0,0.34378052
300,-0.04238808,342.76013,297.24484,-0.04238808,342.79584,0.0,0.0,294.57407,262.55,344.4548,-8.515202e-05,341.22202,342.38885,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,18000.0,-16884.099559341335,-8103.084,-8109.441,0.0,0.0,0.0,-16212.525,0.0,0.0,0.3140564
315,-0.04238808,342.81815,297.24484,-0.04238808,342.84225,0.0,0.0,294.5407,262.55,344.4548,-8.515202e-05,341.26016,342.3926,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,18900.0,-16884.099559341335,-8113.412,-8117.7046,0.0,0.0,0.0,-16231.117,0.0,0.0,0.28070068
330,-0.04238808,342.87125,297.24484,-0.04238808,342.8875,0.0,0.0,294.50723,262.55,344.4548,-8.515202e-05,341.2984,342.39658,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,19800.0,-16884.099559341335,-8122.8657,-8125.7617,0.0,0.0,0.0,-16248.627,0.0,0.0,0.2472229
345,-0.04238808,342.91983,297.24484,-0.04238808,342.93082,0.0,0.0,294.4826,262.55,344.4548,-8.515202e-05,341.33667,342.40082,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,20700.0,-16884.099559341335,-8131.515,-8133.471,0.0,0.0,0.0,-16264.986,0.0,0.0,0.22259521
360,-0.04238808,342.96402,297.24484,-0.04238808,342.97147,0.0,0.0,294.45264,262.55,344.4548,-8.515202e-05,341.37488,342.40527,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,21600.0,-16884.099559341335,-8139.3823,-8140.708,0.0,0.0,0.0,-16280.09,0.0,0.0,0.19262695
