minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
43200,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,265.35,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,2592000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
43215,-0.04238848,293.15,293.1332,-0.04238848,293.15,0.0,0.0,293.13217,265.4752,293.14932,-8.5152824e-05,293.15,293.15,-4.196896e-19,-2.7248787e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,2592900.0,-5.762783882090616,-2.9882016,-2.9882016,0.0,0.0,0.0,-5.976403,0.0,0.0,-1.1278381
43230,12.539335,308.055,293.2231,12.539177,293.3429,7.3463597,7.0506926,293.123,265.63382,305.32587,0.0251897,308.36737,293.3588,0.9990033,0.6580939,1.0,0.0,1623272.0,0.0,343.15,343.15,-4564.767,2593800.0,1280431.7590840925,781123.94,6308.238,1623272.0,0.0,14.397053,787432.2,1623272.0,1623286.4,-1.1370239
43245,12.060991,296.00784,295.53543,12.594357,347.42258,6.696144,6.4193664,293.1731,265.80054,320.52823,0.024764659,296.01126,347.54175,0.014501631,1.0,0.0,0.90937984,0.0,914358.75,343.15,343.15,-4216.3115,2594700.0,2599540.0759904897,23930.586,2744638.0,0.0,914358.75,13.115511,2768568.5,914358.75,914371.9,-1.0869141
43260,11.899178,317.16058,299.62274,11.899178,355.77124,6.422789,6.1612544,293.3361,265.95,331.16388,0.023903867,317.34753,356.01465,0.9991752,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4211.2793,2595600.0,3166611.7045340342,876480.75,2806108.0,1623272.0,1005475.0,12.5840435,3682588.8,2628747.0,2628759.5,-0.9239197
43275,10.591726,326.33752,302.27762,10.591726,336.229,5.614963,5.3946548,293.60815,266.10257,335.80737,0.021277372,326.40417,335.85202,0.9991752,1.0,1.0,0.13704659,1623272.0,137796.92,343.15,343.15,-4200.4556,2596500.0,2996385.233554133,1070310.9,1510335.9,1623272.0,137796.92,11.009618,2580646.8,1761068.9,1761079.9,-0.65185547
43290,8.751341,332.00922,303.30017,8.751341,346.75424,4.5171947,4.3459177,293.9013,266.26617,336.99075,0.017580282,332.09164,346.88007,0.9991752,1.0,1.0,0.5408826,1623272.0,543843.94,343.15,343.15,-4177.7656,2597400.0,2487617.727957581,1055219.1,1597181.9,1623272.0,543843.94,8.863112,2652401.0,2167116.0,2167124.8,-0.3587036
43305,8.269981,338.8787,301.97882,8.269982,342.84244,4.1825457,4.0239444,294.16556,266.3967,341.19693,0.016613295,338.85562,342.74304,0.9991752,1.0,1.0,0.2942056,1623272.0,295816.4,343.14996,343.14996,-4112.7476,2598300.0,2736476.5183097576,1281677.2,1419353.9,1623272.0,295816.4,8.20649,2701031.0,1919088.4,1919096.6,-0.094451904
43320,8.078848,344.16568,300.40607,8.078849,344.37073,4.128524,3.9733224,294.3951,266.45,343.40155,0.016229333,344.08438,344.3429,0.9991752,1.0,0.97405493,0.29719692,1581156.1,298824.06,343.14993,343.14993,-4168.0654,2599200.0,2930709.7380816685,1484814.5,1491772.1,1581156.1,298824.06,8.101847,2976586.5,1879980.2,1879988.4,0.13510132
43335,7.3050036,346.38947,298.79636,7.3050036,343.9098,3.7085042,3.570515,294.57242,266.45,345.6572,0.014674782,346.50064,343.92078,0.9991752,1.0,0.60577023,0.14493637,983329.8,145729.89,343.1499,343.1499,-4178.4414,2600100.0,2888224.9228860927,1460204.9,1384126.0,983329.8,145729.89,7.2790194,2844331.0,1129059.8,1129067.0,0.31240845
