minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,260.95,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13058,-0.04238848,293.15,0.0,0.0,293.11307,260.89532,293.14868,-8.515283e-05,293.15,293.15,1.6498053e-18,-4.0518837e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,900.0,-6.472218056963186,-3.4554477,-3.4554477,0.0,0.0,0.0,-6.9108953,0.0,0.0,-1.1469421
30,12.436918,307.2392,293.26532,12.436761,293.3264,6.8818936,6.59858,293.07883,260.86667,303.92587,0.024983957,307.58484,293.33548,0.99900806,0.65715414,1.0,0.0,1623272.0,0.0,343.15,343.15,-4295.976,1800.0,1118639.7666392622,729926.3,3189.7285,1623272.0,0.0,13.4804735,733116.06,1623272.0,1623285.5,-1.1811829
45,12.437145,295.9902,295.63394,12.987897,346.76358,6.9473844,6.65596,293.1152,260.8797,320.1935,0.025537765,295.99612,346.8866,0.014497279,1.0,0.0,0.9283293,0.0,933411.9,343.15,343.15,-4222.652,2700.0,2634225.411859734,18609.717,2789079.2,0.0,933411.9,13.603344,2807689.0,933411.9,933425.5,-1.1448059
60,12.421189,316.7732,299.86917,12.421189,354.8155,6.7527275,6.4725647,293.26282,260.95,331.11536,0.02495252,316.94125,355.02545,0.99916625,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4215.0093,3600.0,3274618.426164011,881865.9,2866494.2,1623272.0,1005475.0,13.225292,3748360.0,2628747.0,2628760.2,-0.9971924
75,11.259532,325.31946,302.7674,11.259533,343.51135,6.014213,5.773908,293.52844,261.06116,340.51736,0.022618905,325.38095,342.86142,0.99916625,1.0,1.0,0.013770854,1623272.0,13846.25,343.15,343.15,-4198.6333,4500.0,3586224.442589719,1066487.9,1926783.4,1623272.0,13846.25,11.788121,2993271.2,1637118.2,1637130.0,-0.7315674
90,9.537522,330.51633,304.12497,9.537523,344.65607,4.9653573,4.7744465,293.82504,261.1839,334.99323,0.019159617,330.57657,344.851,0.99916625,1.0,1.0,0.6133001,1623272.0,616657.94,343.15,343.15,-4174.9673,5400.0,2483980.598548794,1057174.2,1623578.4,1623272.0,616657.94,9.739803,2680752.5,2239930.0,2239939.8,-0.43496704
105,7.6541786,336.87155,302.75876,7.6541786,343.9189,3.8790689,3.733769,294.09058,261.3147,340.32544,0.015376228,336.9717,343.84708,0.99916625,1.0,1.0,0.31782252,1623272.0,319562.6,343.15,343.15,-4153.1113,6300.0,2426062.1590190963,1096642.8,1323198.2,1623272.0,319562.6,7.612838,2419841.0,1942834.6,1942842.2,-0.1694336
120,8.482205,340.971,301.26285,8.482206,343.50522,4.325959,4.1618953,294.3208,261.45,340.9999,0.017039625,341.0591,343.55743,0.99916625,1.0,1.0,0.3482944,1623272.0,350201.3,343.15,343.15,-4138.5435,7200.0,2843839.3590310626,1414613.6,1504895.6,1623272.0,350201.3,8.487854,2919509.2,1973473.2,1973481.8,0.060791016
135,7.8928285,345.65686,299.6839,7.8928285,342.53973,4.040075,3.8888366,294.5108,261.59702,344.70093,0.015855644,345.48456,342.43497,0.99916625,1.0,0.7000173,0.13794442,1136318.4,138699.66,339.817,339.817,-4184.83,8100.0,2997850.7082143095,1523998.1,1420665.8,1136318.4,138699.66,7.928911,2944664.0,1275018.0,1275025.9,0.25079346
150,7.5338326,340.75668,298.18765,7.533833,337.9421,3.8086648,3.666124,294.64325,261.75568,340.26077,0.01513447,340.69128,337.91235,0.99916625,1.0,0.28639764,0.046439495,464901.25,46693.754,336.484,336.484,-4148.41,9000.0,2674368.302098151,1346973.4,1257914.5,464901.25,46693.754,7.4747887,2604888.0,511595.0,511602.47,0.38323975
165,-0.06312981,334.54233,297.1979,-0.06313627,334.82846,-3.157911e-20,-3.154412e-20,294.7142,261.9115,336.25635,-0.0001268259,334.4071,334.7785,0.01318208,0.013219646,0.0,0.0,0.0,0.0,335.373,335.373,-99.21615,9900.0,-20805.21104576354,-9901.694,-9978.582,0.0,0.0,-6.3123225e-20,-19880.277,0.0,-6.3123225e-20,0.45419312
180,-0.042387918,334.71173,297.2084,-0.042387918,334.9002,0.0,0.0,294.73462,262.05,336.24796,-8.515169e-05,334.4219,334.78036,8.836281e-19,8.90365e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,10800.0,-13961.991457781409,-6676.689,-6710.2437,0.0,0.0,0.0,-13386.933,0.0,0.0,0.47460938
195,-0.042387918,334.82666,297.2084,-0.042387918,334.9537,0.0,0.0,294.72903,262.1075,336.24796,-8.515169e-05,334.4362,334.7823,-2.349921e-19,1.434872e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,11700.0,-13961.991457781409,-6697.15,-6719.7676,0.0,0.0,0.0,-13416.918,0.0,0.0,0.46902466
210,-0.042387918,334.9125,297.2084,-0.042387918,334.9981,0.0,0.0,294.7139,262.0784,336.24796,-8.515169e-05,334.4507,334.78436,-4.4042524e-23,1.1888482e-23,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,12600.0,-13961.991457781409,-6712.433,-6727.6724,0.0,0.0,0.0,-13440.105,0.0,0.0,0.45388794
225,-0.042387918,334.9788,297.2084,-0.042387918,335.03644,0.0,0.0,294.69272,262.0351,336.24796,-8.515169e-05,334.46548,334.78662,8.569573e-34,-2.3132012e-34,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,13500.0,-13961.991457781409,-6724.2334,-6734.4966,0.0,0.0,0.0,-13458.73,0.0,0.0,0.43270874
240,-0.042387918,335.032,297.2084,-0.042387918,335.07083,0.0,0.0,294.67487,262.05,336.24796,-8.515169e-05,334.4805,334.78903,-9.7406e-40,2.6293e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,14400.0,-13961.991457781409,-6733.7085,-6740.6196,0.0,0.0,0.0,-13474.328,0.0,0.0,0.41485596
255,-0.042387918,335.07657,297.2084,-0.042387918,335.10272,0.0,0.0,294.64697,262.16647,336.24796,-8.515169e-05,334.4958,334.7916,1.3e-44,-3e-45,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,15300.0,-13961.991457781409,-6741.641,-6746.297,0.0,0.0,0.0,-13487.9375,0.0,0.0,0.3869629
270,-0.042387918,335.11526,297.2084,-0.042387918,335.13293,0.0,0.0,294.62415,262.33408,336.24796,-8.515169e-05,334.51132,334.79434,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,16200.0,-13961.991457781409,-6748.53,-6751.676,0.0,0.0,0.0,-13500.205,0.0,0.0,0.36413574
285,-0.042387918,335.15005,297.2084,-0.042387918,335.16196,0.0,0.0,294.5947,262.48465,336.24796,-8.515169e-05,334.52713,334.79724,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,17100.0,-13961.991457781409,-6754.7236,-6756.8423,0.0,0.0,0.0,-13511.566,0.0,0.0,0.33468628
300,-0.042387918,335.18195,297.2084,-0.042387918,335.18997,0.0,0.0,294.56497,262.55,336.24796,-8.515169e-05,334.54312,334.8003,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,18000.0,-13961.991457781409,-6760.401,-6761.83,0.0,0.0,0.0,-13522.23,0.0,0.0,0.30496216
315,-0.042387918,335.2115,297.2084,-0.042387918,335.21692,0.0,0.0,294.53162,262.55,336.24796,-8.515169e-05,334.55936,334.8035,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,18900.0,-13961.991457781409,-6765.66,-6766.6274,0.0,0.0,0.0,-13532.287,0.0,0.0,0.27160645
330,-0.042387918,335.23892,297.2084,-0.042387918,335.2426,0.0,0.0,294.49814,262.55,336.24796,-8.515169e-05,334.5757,334.80682,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,19800.0,-13961.991457781409,-6770.5444,-6771.202,0.0,0.0,0.0,-13541.746,0.0,0.0,0.23812866
345,-0.042387918,335.26413,297.2084,-0.042387918,335.26663,0.0,0.0,294.4735,262.55,336.24796,-8.515169e-05,334.59216,334.8103,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,20700.0,-13961.991457781409,-6775.032,-6775.4775,0.0,0.0,0.0,-13550.51,0.0,0.0,0.21350098
360,-0.042387918,335.2869,297.2084,-0.042387918,335.28857,0.0,0.0,294.44354,262.55,336.24796,-8.515169e-05,334.60864,334.81384,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,21600.0,-13961.991457781409,-6779.0854,-6779.3843,0.0,0.0,0.0,-13558.47,0.0,0.0,0.18353271
375,-0.042387918,335.3066,297.2084,-0.042387918,335.30777,0.0,0.0,294.42136,262.55,336.24796,-8.5151696e-05,334.6251,334.81747,-5.0048183e-22,-3.588052e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,22500.0,-13961.992650791899,-6782.595,-6782.8013,0.0,0.0,0.0,-13565.396,0.0,0.0,0.16134644
390,-0.042392153,335.3229,297.2084,-0.042392153,335.32367,0.0,0.0,294.3936,262.55,336.24796,-8.516021e-05,334.64133,334.82114,-8.312614e-20,-2.2955826e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30344,23400.0,-13963.388473065663,-6786.1743,-6786.31,0.0,0.0,0.0,-13572.484,0.0,0.0,0.13357544
405,-0.042387918,335.3348,297.20877,-0.042387918,335.33533,0.0,0.0,294.36713,262.55,336.24713,-8.5151696e-05,334.6573,334.8248,-4.788899e-18,-1.6042568e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,24300.0,-13961.56699625628,-6787.55,-6787.642,0.0,0.0,0.0,-13575.191,0.0,0.0,0.1071167
420,-0.042387918,335.34186,297.22638,-0.042387918,335.34222,0.0,0.0,294.33627,262.55,336.20923,-8.5151696e-05,334.67285,334.8284,-5.9937414e-19,-8.051864e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,25200.0,-13941.71403214628,-6785.67,-6785.7354,0.0,0.0,0.0,-13571.405,0.0,0.0,0.07626343
435,-0.04238792,335.34305,297.43433,-0.04238792,335.3433,0.0,0.0,294.31073,262.60736,335.7794,-8.51517e-05,334.6878,334.83194,1.635958e-19,1.3147356e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,26100.0,-13713.618943936679,-6748.862,-6748.9053,0.0,0.0,0.0,-13497.768,0.0,0.0,0.050720215
450,-0.042387933,335.33774,298.42776,-0.042387933,335.3379,0.0,0.0,294.27527,262.75293,333.78976,-8.5151725e-05,334.70203,334.8353,-1.8121463e-20,3.994848e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30321,27000.0,-12646.76811511869,-6571.057,-6571.0845,0.0,0.0,0.0,-13142.142,0.0,0.0,0.015258789
465,-0.042387947,335.32498,300.66205,-0.042387947,335.3251,0.0,0.0,294.2422,262.94705,329.17938,-8.5151754e-05,334.7153,334.83844,-5.681677e-19,-1.0412873e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30323,27900.0,-10198.864272615538,-6171.0205,-6171.042,0.0,0.0,0.0,-12342.0625,0.0,0.0,-0.017822266
480,-0.042387962,335.30368,303.4889,-0.042387962,335.30374,0.0,0.0,294.21472,263.15,322.9386,-8.515178e-05,334.7274,334.8413,-2.7310552e-19,1.8135493e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30325,28800.0,-6955.9444112570645,-5663.969,-5663.98,0.0,0.0,0.0,-11327.949,0.0,0.0,-0.045288086
495,-0.04238799,335.27292,306.6055,-0.04238799,335.27298,0.0,0.0,294.17996,263.35373,315.42108,-8.5151834e-05,334.7381,334.8438,-2.0876601e-18,-6.320095e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30329,29700.0,-3152.7846069665966,-5103.648,-5103.6587,0.0,0.0,0.0,-10207.307,0.0,0.0,-0.08004761
510,-0.04238801,335.23187,309.29462,-0.04238801,335.23193,0.0,0.0,294.15292,263.59082,308.0388,-8.5151885e-05,334.7472,334.8459,-3.1905915e-18,-1.9799215e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30333,30600.0,449.13201819012374,-4617.6006,-4617.6113,0.0,0.0,0.0,-9235.212,0.0,0.0,-0.10708618
525,-0.042388044,335.17975,311.02966,-0.042388044,335.17978,0.0,0.0,294.12198,263.88248,302.0171,-8.515194e-05,334.75446,334.8474,-1.7008547e-19,-1.4085352e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30338,31500.0,3223.2401353294194,-4299.4346,-4299.44,0.0,0.0,0.0,-8598.875,0.0,0.0,-0.138031
540,-0.042388078,335.11502,311.64206,-0.042388078,335.11505,0.0,0.0,294.09186,264.25,297.9684,-8.5152016e-05,334.7595,334.84833,-9.605371e-19,-1.5085238e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30344,32400.0,4890.221460417266,-4178.8896,-4178.895,0.0,0.0,0.0,-8357.785,0.0,0.0,-0.16815186
