minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
86400,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,274.25,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,5184000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
86415,-0.042388476,293.15,293.1385,-0.042388476,293.15,0.0,0.0,293.14526,274.30295,293.14972,-8.515282e-05,293.15,293.15,-1.3859525e-19,4.0874313e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,5184900.0,-4.016485392810409,-2.0482762,-2.0482762,0.0,0.0,0.0,-4.0965524,0.0,0.0,-1.1147461
86430,12.349266,308.3386,293.22473,12.349111,293.3628,7.209965,6.9217973,293.1496,274.3257,305.6004,0.02480788,308.65787,293.38025,0.9990133,0.65755826,1.0,0.0,1623272.0,0.0,343.15,343.15,-4558.6724,5185800.0,1289459.5013328171,783909.4,7160.736,1623272.0,0.0,14.1317625,791070.1,1623272.0,1623286.1,-1.1104126
86445,11.796551,296.10175,295.48422,12.316842,347.93277,6.5223303,6.255317,293.213,274.3106,320.83948,0.0242203,296.1032,348.04733,0.014517012,1.0,0.0,0.8936959,0.0,898588.9,343.15,343.15,-4212.7466,5186700.0,2579270.009433401,30595.502,2713202.0,0.0,898588.9,12.777647,2743797.5,898588.9,898601.6,-1.0469971
86460,11.507412,317.48752,299.43976,11.507412,356.48557,6.1756444,5.9272456,293.38882,274.25,331.1848,0.023116862,317.6917,356.75787,0.99916065,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4206.534,5187600.0,3082153.5989889754,872268.6,2757088.2,1623272.0,1005475.0,12.10289,3629357.0,2628747.0,2628759.0,-0.8711853
86475,10.118182,327.16183,301.92004,10.118182,334.00177,5.326792,5.1199594,293.6607,274.05557,333.84793,0.020326084,327.23187,333.7778,0.99916065,1.0,1.0,0.22403492,1623272.0,225261.52,343.15,343.15,-4194.3696,5188500.0,2725669.368310935,1072684.2,1363356.6,1623272.0,225261.52,10.446751,2436041.0,1848533.5,1848544.0,-0.5993042
86490,8.257485,333.21387,302.75412,8.257485,347.5081,4.232274,4.072858,293.94476,273.72577,338.15176,0.01658819,333.31088,347.58643,0.99916065,1.0,1.0,0.4879356,1623272.0,490607.06,343.14996,343.14996,-4171.9253,5189400.0,2466168.0335483425,1056387.9,1552131.9,1623272.0,490607.06,8.305132,2608519.8,2113879.0,2113887.2,-0.31524658
86505,7.601527,339.0784,301.47424,7.601527,341.99188,3.8507466,3.706608,294.2112,273.38312,340.8545,0.015270458,339.17935,341.97168,0.99916065,1.0,1.0,0.3095983,1623272.0,311293.34,343.14993,343.14993,-4153.923,5190300.0,2525688.5770597137,1200565.9,1293582.9,1623272.0,311293.34,7.557355,2494148.8,1934565.4,1934572.9,-0.048797607
86520,7.434717,346.56592,299.8877,7.434717,345.23593,3.758417,3.6179864,294.4296,273.15,344.95038,0.014935359,346.63437,345.2477,0.99916065,1.0,0.8631539,0.2422889,1401133.5,243615.44,343.1499,343.1499,-4153.2754,5191200.0,2826714.936575627,1457565.4,1416035.5,1401133.5,243615.44,7.3764033,2873601.0,1644749.0,1644756.4,0.16958618
86535,7.3902307,347.32892,298.32645,7.390231,344.174,3.7399352,3.60037,294.59747,273.1242,345.6454,0.0148459915,347.29865,344.1704,0.99916065,1.0,0.47625652,0.11362242,773093.8,114244.51,343.14987,343.14987,-4160.231,5192100.0,2950485.592424991,1520986.2,1423061.2,773093.8,114244.51,7.3403053,2944047.5,887338.3,887345.6,0.33746338
86550,-0.0426409,341.7244,297.36053,-0.04264329,342.66898,-3.1184878e-32,-3.113663e-32,294.69815,273.21875,344.9672,-8.56623e-05,341.37497,342.56525,9.147357e-07,9.1757965e-07,0.0,0.0,0.0,0.0,343.14987,343.14987,-66.70386,5193000.0,-17128.002976732892,-7945.202,-8114.824,0.0,0.0,-6.232151e-32,-16060.026,0.0,-6.232151e-32,0.43814087
86565,-0.042387918,342.10233,297.36053,-0.042387918,342.7372,2.3178226e-38,2.3135838e-38,294.73676,273.2789,344.9672,-8.5151696e-05,341.40845,342.56735,-5.997985e-14,-6.016598e-14,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,5193900.0,-17025.90856926811,-7965.3477,-8078.376,0.0,0.0,4.6314063e-38,-16043.724,0.0,4.6314063e-38,0.4767456
86580,-0.042387903,342.37134,297.36053,-0.042387903,342.7992,0.0,0.0,294.75427,273.15,344.9672,-8.515167e-05,341.4422,342.5698,-7.608912e-23,-5.513447e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,5194800.0,-17025.902750016365,-8013.237,-8089.4077,0.0,0.0,0.0,-16102.645,0.0,0.0,0.4942627
86595,-0.04238808,342.5692,297.36053,-0.04238808,342.85733,0.0,0.0,294.75073,272.875,344.9672,-8.515202e-05,341.47632,342.57254,-8.647073e-28,-1.5765602e-28,0.0,0.0,0.0,0.0,343.15,343.15,-66.303055,5195700.0,-17025.974035850268,-8048.4985,-8099.7915,0.0,0.0,0.0,-16148.29,0.0,0.0,0.49072266
86610,-0.04238808,342.71817,297.36053,-0.04238808,342.913,0.0,0.0,294.7468,272.6,344.9672,-8.515202e-05,341.5108,342.57565,1e-44,1e-45,0.0,0.0,0.0,0.0,343.15,343.15,-66.303055,5196600.0,-17025.974035850268,-8075.017,-8109.7017,0.0,0.0,0.0,-16184.719,0.0,0.0,0.4867859
86625,-0.04238808,342.83533,297.36053,-0.04238808,342.96722,0.0,0.0,294.73233,272.325,344.9672,-8.515202e-05,341.54565,342.57907,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303055,5197500.0,-17025.974035850268,-8095.8745,-8119.356,0.0,0.0,0.0,-16215.23,0.0,0.0,0.47232056
86640,-0.04238808,342.93137,297.36053,-0.04238808,343.02066,0.0,0.0,294.7133,272.05,344.9672,-8.515202e-05,341.5809,342.5828,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303055,5198400.0,-17025.974035850268,-8112.972,-8128.869,0.0,0.0,0.0,-16241.842,0.0,0.0,0.4532776
86655,-0.04238808,343.01306,297.36053,-0.04238808,343.07358,0.0,0.0,294.65573,271.775,344.9672,-8.515202e-05,341.61652,342.58688,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303055,5199300.0,-17025.974035850268,-8127.5166,-8138.29,0.0,0.0,0.0,-16265.807,0.0,0.0,0.39572144
