minute,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation
2880,0.05835783536412009,0.029178917682060046,0.029178917682060046,0.0,0.0,1.3279502,0.05835783536412009
2881,0.7790020775111373,0.38950103875556863,0.38950103875556863,0.0,0.0,0.6481992,0.7790020775111373
2882,0.12369074534612778,0.06184537267306389,0.06184537267306389,0.0,0.0,0.010905833,0.12369074534612778
2883,0.009488637234267294,0.004744318617133647,0.004744318617133647,0.0,0.0,3.404518e-05,0.009488637234267294
2884,0.0007041942538203033,0.00035209712691015166,0.00035209712691015166,0.0,0.0,5.638749e-08,0.0007041942538203033
2885,4.084303330926468e-05,2.042151665463234e-05,2.042151665463234e-05,0.0,0.0,6.814862e-11,4.084303330926468e-05
2886,1.223500127734472e-07,6.11750063867236e-08,6.11750063867236e-08,0.0,0.0,4.4786706e-15,1.223500127734472e-07
2887,2.346764607239818e-10,1.173382303619909e-10,1.173382303619909e-10,0.0,0.0,9.0288845e-20,2.346764607239818e-10
2888,1.0463615455460594e-11,5.231807313816873e-12,5.231807727730297e-12,0.0,0.0,5.071927e-23,1.046361504154717e-11
2889,5.145763922602636e-13,2.572876528687632e-13,2.572887652610894e-13,0.0,0.0,3.6951403e-26,5.145764181298526e-13
2890,3.105942627606639e-14,1.5529590257485533e-14,1.5529836018580857e-14,0.0,0.0,2.524521e-29,3.105942627606639e-14
2891,1.5469734293873526e-15,7.735746308749805e-16,7.733987479858312e-16,0.0,0.0,1.4339914e-32,1.5469733788608116e-15
2892,7.132614525936506e-17,3.5772336274550496e-17,3.5553808984814566e-17,0.0,0.0,6.6880994e-36,7.132614525936506e-17
2893,3.021962218475254e-18,1.4678510814866342e-18,1.5541111369886198e-18,0.0,0.0,3.579432e-39,3.021962218475254e-18
2894,-3.227038148918197e-19,-3.2256027806788505e-19,-1.435327281361832e-22,0.0,0.0,-6.74e-43,-3.2270381079602124e-19
2895,-8.652080995360652e-19,-8.650938227109595e-19,-1.1429584647574879e-22,0.0,0.0,-8e-45,-8.652081185574352e-19
2896,-9.107710986567969e-19,-9.10658499470747e-19,-1.1260952191772864e-22,0.0,0.0,0.0,-9.107711089926649e-19
2897,0.003772012126604385,0.015878541626858367,9.816049321490064e-08,6923.077,0.0,1.3267356e-06,0.015878639787351583
2898,12.3325765772897,2028.8006559128657,0.0012240774039729615,15000.0,0.0,0.48846927,2028.8018799902698
2899,361.3818219693421,9466.367961007727,0.01753063498721643,15000.0,0.0,2.8882766,9466.385491642714
2900,3151.4978891834744,10535.504924018469,0.031007106303544956,15000.0,0.0,2.4274912,10535.535931124772
2901,7852.127243716644,13076.76450222992,0.04137609230939546,15000.0,0.0,3.6200902,13076.80587832223
2902,11855.792511569429,14326.991048924852,0.05083570114226789,15000.0,0.0,5.074723,14327.041884625994
2903,14305.080422181505,14381.746321893374,0.058856255546330116,15000.0,0.0,6.450247,14381.80517814892
2904,14767.778554036859,13899.338169949971,0.061135527826099156,15000.0,0.0,7.345527,13899.399305477798
2905,14186.759017235672,13361.664482899905,0.05329140307492285,15000.0,0.0,7.8331394,13361.71777430298
2906,13393.192913554942,12875.893769211722,0.031555403091627736,15000.0,0.0,8.117961,12875.925324614813
2907,12642.33924975038,12439.29025015067,-0.005400129139102212,15000.0,0.0,8.281879,12439.284850021531
2908,11954.72358368761,12050.287507602065,-0.05691067064897415,15000.0,0.0,8.3755,12050.230596931415
2909,11349.245000551455,11727.731765741823,-0.11973526489669761,15000.0,0.0,8.428886,11727.612030476927
2910,10904.122179966436,11481.612886928084,-10.324284580121024,15000.0,0.0,8.493704,11471.288602347962
2911,12431.30492970632,10147.12595147671,-846.0371136808753,15000.0,0.0,8.225448,9301.088837795834
2912,8313.125307421742,7330.500741919987,-1394.0373857228572,15000.0,0.0,3.0309527,5936.46335619713
2913,5859.381714644307,8338.104843561567,-161.28260593717414,15000.0,17782.258,2.4995272,8176.822237624392
2914,6661.548132648143,9366.688347569152,3934.6168231279676,15000.0,22500.0,2.51147,13301.30517069712
2915,10169.653051510608,10003.867280203238,7168.348802868784,15000.0,22500.0,2.4250553,17172.216083072024
2916,14195.590359279464,10556.94841927739,9688.70500164698,15000.0,22500.0,2.4074686,20245.65342092437
2917,17607.0217855532,10992.638203012106,11646.029432268979,15000.0,22500.0,2.3911324,22638.667635281083
2918,20316.98191925031,10199.895570741368,13171.149023192542,3196.7212,22500.0,2.383882,23371.04459393391
2919,21758.081794446938,6830.218470808091,14357.851915398356,0.0,22500.0,2.3797345,21188.070386206447
2920,20574.99548619557,4374.429450462003,14968.0174864808,0.0,22500.0,3.3208523,19342.446936942804
2921,15850.525141343664,2456.3014421923767,14313.860258989485,0.0,22500.0,27.803875,16770.161701181863
2922,15906.305162934941,866.0147917950667,21733.827916981863,0.0,22500.0,36.495903,22599.84270877693
2923,19911.32766165915,79.30444331552545,26662.41307315822,0.0,22500.0,16.736681,26741.717516473745
2924,24056.278104735895,44.435902485095994,24087.821374280516,0.0,22500.0,8.805342,24132.257276765613
2925,23463.90490969501,32.91496583983644,21008.53001488545,0.0,22500.0,7.347432,21041.44498072529
2926,21685.342152354893,21.537981726504896,19433.710566342375,0.0,22500.0,7.257434,19455.24854806888
2927,19764.628805558004,9.801234393441716,18485.54195818366,0.0,22500.0,7.2958055,18495.343192577104
2928,18188.34381121395,-2.0075774459504814,17868.046687544847,0.0,22500.0,7.303709,17866.039110098896
2929,17098.905043847168,-13.987186015368414,17471.798153387397,0.0,22500.0,7.3089676,17457.81096737203
2930,16444.623916138567,-25.27744805189691,17251.410077335728,0.0,22500.0,7.3128285,17226.13262928383
2931,16087.649434390272,-35.74185878215952,17160.46764553294,0.0,22500.0,7.314811,17124.72578675078
2932,15953.47290221838,-45.056621467876035,17172.36456304434,0.0,22500.0,7.315925,17127.307941576462
2933,15734.303460423149,-52.08183855150983,16995.439140715618,0.0,22500.0,8.454007,16943.35730216411
2934,15512.993853693046,-268.9649234850044,16147.231629712876,0.0,22500.0,43.324764,15878.266706227872
2935,19816.308339464682,-1812.9731055312348,14818.98383542548,0.0,22500.0,14.706489,13006.010729894246
2936,11896.420926741059,-1258.154247342347,10866.581673310095,2619.0476,22500.0,2.4179287,9608.427425967748
2937,10443.399826132805,1675.2159745408335,12858.958211909588,15000.0,22500.0,2.588549,14534.174186450422
2938,12377.585279886638,5207.76435637913,13900.341223992997,15000.0,22500.0,2.4714088,19108.105580372125
2939,16459.572524484935,7577.086668902666,14840.139616807946,15000.0,22500.0,2.4218054,22417.22628571061
2940,20033.94470601876,9131.367628726928,15609.024872491605,15000.0,22500.0,2.4029932,24740.392501218535
2941,22841.849040559482,10236.026331466253,16259.648736860565,15000.0,22500.0,2.3890617,26495.67506832682
2942,24899.95162207492,10988.251515141023,16782.528757855798,15000.0,22500.0,2.3828778,27770.78027299682
2943,26379.924222055175,11484.924004599861,17178.32586507768,15000.0,22500.0,2.3792975,28663.249869677544
2944,27421.457074849088,11796.937956356323,17460.88224375573,15000.0,22500.0,2.3774188,29257.82020011205
2945,28016.294330652338,11639.594559164745,15632.570364293486,12451.87,0.0,2.3764126,27272.16492345823
2946,27037.222039763976,11089.002403484916,11817.413506919116,12996.243,5217.645,2.375876,22906.41591040403
2947,20609.09017095902,9617.694230278184,9284.948449388698,12501.78,8770.271,20.690783,18902.642679666882
2948,22617.666376712365,11368.731079612715,10852.172129811954,12691.978,13622.671,32.79306,22220.90320942467
2949,21768.278206372393,10748.691909357078,10598.606554489721,12079.874,11436.487,11.061062,21347.298463846797
2950,20229.60355210799,9398.67656411728,9030.542637300698,9097.554,6794.111,3.3629289,18429.21920141798
2951,18475.79397702006,8670.912623354532,8374.68956478018,9985.091,9889.846,2.3417327,17045.60218813471
2952,17009.037692575646,8167.247281799917,7984.75661156548,10209.14,11079.553,2.2110147,16152.003893365396
2953,16007.122245278182,7815.791523260174,7733.954490109784,8634.334,7962.955,2.1863396,15549.746013369957
2954,15256.17964778121,7511.573297189766,7478.8653377302335,9493.826,10230.046,2.1748142,14990.43863492
2955,14756.24365280801,6607.670553478329,6756.57386395585,4644.421,3991.9355,2.168941,13364.24441743418
2956,14008.847773690291,6039.399679251822,6237.855459145348,7194.1665,7734.375,2.1658564,12277.25513839717
2957,12914.351079029984,5976.041309205371,6254.559372392876,6804.5547,7382.8125,2.1641984,12230.600681598247
2958,12364.570851391754,5941.034349655539,6336.425214218178,6623.464,7382.8125,2.163313,12277.459563873716
2959,12284.16481008292,5935.747207829856,6480.840699381929,8125.4893,10384.615,2.1628366,12416.587907211786
2960,12411.746356065123,5253.31711442929,6104.10843560345,2695.7488,3571.4285,2.1625786,11357.42555003274
2961,12186.783838011195,4872.791213191707,5929.50104862906,5202.979,7031.25,2.162445,10802.292261820767
2962,11556.566004686885,4919.712161107536,6157.358450915318,6747.703,9692.308,2.1623735,11077.070612022853
