minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2880,-0.00011382557,293.15,293.14993,-0.00011382557,293.15,0.69187534,0.6360749,293.0882,273.15,293.15,0.00022765114,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,172828.22
2881,-8.6824286e-05,293.15,293.14893,-8.6824286e-05,293.15,0.33176595,0.31643322,292.95563,273.15,293.15,0.00017364857,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,172889.08
2882,-8.1781645e-06,293.15,293.1482,-8.1781645e-06,293.15,0.005455509,0.005450324,292.8249,273.15,293.15,1.6356329e-05,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,172949.62
2883,-6.067987e-07,293.15,293.14813,-6.067987e-07,293.15,1.7031265e-05,1.7013914e-05,292.69727,273.15,293.15,1.2135974e-06,293.15,293.15,0.8328731,0.8328731,0.0,0.0,0.0,0.0,343.15,343.15,173009.25
2884,-4.503325e-08,293.15,293.14813,-4.503325e-08,293.15,2.820978e-08,2.8177709e-08,292.56946,273.15,293.15,9.00665e-08,293.15,293.15,0.1835521,0.1835521,0.0,0.0,0.0,0.0,343.15,343.15,173069.5
2885,-2.6119136e-09,293.15,293.14813,-2.6119136e-09,293.15,3.4093683e-11,3.4054936e-11,292.4442,273.15,293.15,5.223827e-09,293.15,293.15,0.009201616,0.009201616,0.0,0.0,0.0,0.0,343.15,343.15,173129.06
2886,-7.824288e-12,293.15,293.14813,-7.824288e-12,293.15,2.2406086e-15,2.2380622e-15,292.31818,273.15,293.15,1.5648576e-11,293.15,293.15,0.00028738932,0.00028738932,0.0,0.0,0.0,0.0,343.15,343.15,173189.56
2887,-1.5007569e-14,293.15,293.14813,-1.5007569e-14,293.15,4.5170068e-20,4.5118773e-20,292.1945,273.15,293.15,3.0015138e-14,293.15,293.15,8.092041e-06,8.092041e-06,0.0,0.0,0.0,0.0,343.15,343.15,173249.5
2888,-6.6914856e-16,293.15,293.14813,-6.691486e-16,293.15,2.537394e-23,2.534533e-23,292.07175,273.15,293.15,1.3382972e-15,293.15,293.15,1.5522608e-07,1.5522608e-07,0.0,0.0,0.0,0.0,343.15,343.15,173309.5
2889,-3.290711e-17,293.15,293.14813,-3.2907253e-17,293.15,1.8472038e-26,1.8479366e-26,291.95016,273.15,293.15,6.581436e-17,293.15,293.15,-5.2720277e-09,-5.2720277e-09,0.0,0.0,0.0,0.0,343.15,343.15,173369.5
2890,-1.9862358e-18,293.15,293.14813,-1.9862672e-18,293.15,1.2571948e-29,1.2673262e-29,291.82968,273.15,293.15,3.972503e-18,293.15,293.15,9.6913366e-11,9.6913366e-11,0.0,0.0,0.0,0.0,343.15,343.15,173429.5
2891,-9.8940256e-20,293.15,293.14813,-9.891776e-20,293.15,7.1533996e-33,7.186514e-33,291.7103,273.15,293.15,1.9785802e-19,293.15,293.15,-1.7492587e-10,-1.7492587e-10,0.0,0.0,0.0,0.0,343.15,343.15,173489.5
2892,-4.5752846e-21,293.15,293.14813,-4.547335e-21,293.15,3.3059215e-36,3.3821776e-36,291.59097,273.15,293.15,9.1226195e-21,293.15,293.15,-9.93303e-13,-9.93303e-13,0.0,0.0,0.0,0.0,343.15,343.15,173550.02
2893,-1.8773827e-22,293.15,293.14813,-1.9877094e-22,293.15,-1.5009207e-37,1.536715e-37,291.47476,273.15,293.15,3.865092e-22,293.15,293.15,5.116275e-14,5.116275e-14,0.0,0.0,0.0,0.0,343.15,343.15,173609.5
2894,4.1255485e-23,293.15,293.14813,1.8357847e-26,293.15,-1.147003e-39,1.14633e-39,291.3586,273.15,293.15,-4.1273843e-23,293.15,293.15,4.7605013e-14,4.7605013e-14,0.0,0.0,0.0,0.0,343.15,343.15,173669.5
2895,1.1064557e-22,293.15,293.14813,1.4618448e-26,293.15,-4.78e-42,4.771e-42,291.2436,273.15,293.15,-1.1066018e-22,293.15,293.15,0.17300679,7.5569627e-16,0.0,0.0,0.0,0.0,343.15,343.15,173729.47
2896,1.1647329e-22,293.15,293.14813,1.4402767e-26,293.15,-4.9e-44,4.9e-44,291.12946,273.15,293.15,-1.164877e-22,293.15,293.15,0.81644666,9.803785e-16,0.0,0.0,0.0,0.0,343.15,343.15,173789.5
2897,-4.74647e-07,293.15607,293.1481,-1.2352239e-11,293.15,1.3267356e-06,-6.865867e-36,291.01532,273.15,293.15,4.7465934e-07,294.01523,293.15,0.9912081,1.0075393e-15,0.46153846,0.0,6923.077,0.0,343.15,343.15,173850.1
2898,-8.826421e-05,298.58966,293.1169,-8.801968e-09,293.15002,0.48846927,-3.9339576e-34,290.90527,273.15,293.15018,8.827302e-05,300.45575,293.15,0.9997019,1.008501e-15,1.0,0.0,15000.0,0.0,343.15,343.15,173909.03
2899,-0.00020026873,304.19846,292.9441,-2.0155076e-08,293.15118,2.8882766,-2.1465121e-35,290.79294,273.15,293.3737,0.00020028888,304.3061,293.15,0.99999195,1.0085631e-15,1.0,0.0,15000.0,0.0,343.15,343.15,173969.75
2900,-0.0001883982,306.07892,292.76428,-1.8960302e-08,293.15366,2.4274912,-2.2327689e-37,290.6834,273.15,296.7467,0.00018841717,306.1785,293.15,0.99999857,1.0119841e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174029.5
2901,-0.0002131586,307.30414,292.69757,-2.1452175e-08,293.1568,3.6200902,-2.640083e-39,290.57498,273.15,301.4674,0.00021318004,307.32407,293.15005,0.9999986,1.0117436e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174089.5
2902,-0.00023845528,306.96167,292.6563,-2.3998021e-08,293.16068,5.074723,-3.1578e-41,290.46945,273.15,304.493,0.00023847928,306.92358,293.1501,0.9999986,1.0114596e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174149.5
2903,-0.00025842377,305.87634,292.62592,-2.600764e-08,293.16473,6.450247,-3.63e-43,290.368,273.15,305.80438,0.00025844976,305.83255,293.1501,0.9999986,1.0111781e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174209.5
2904,-0.00026992976,304.8929,292.6328,-2.7165598e-08,293.16864,7.345527,-4e-45,290.27106,273.15,305.65762,0.00026995692,304.86246,293.1501,0.9999986,1.0088637e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174269.67
