Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler Gas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electric Power [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly) 
 01/01  01:00:00,-8.2625,-8.475823177658527,-8.479624233627792,-8.54095152404646,-8.476424623464906,-8.548118300928755,-8.39340289070528,378.8838727215651,0.0,15.97669076318273,2.043161195788258,1.026611912544439,17.057632323529306,0.0,6.841531053703164,17.250676845627319,1.5150255669013007,1.247752359211347,17.074565875945504,0.0,8.030379627470638,17.245741034582019,0.0,89.84404503438958,18.89717392895562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,74.01326510130025,0.0,7.22,0.0,16.07334603609047,0.0018644225496673283,-8.495935509327947,17.080830510960877,0.2230737757667906,0.0018644225496673283,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.0,0.001422288734241492,11.5,-8.2625,0.0,0.001422288734241492,4.5 
 01/01  02:00:00,-11.8875,-8.53997596798111,-8.702846560633594,-8.674045881361672,-8.702449052104076,-8.656398790339355,-8.677196095420279,385.3945773690441,0.0,15.51637726437448,192.9489518633375,0.0,16.700636965774647,6.521439650293104,3.5293524770195008,16.798506839149306,158.7584288497336,0.0,16.701500146136966,7.208486486054994,4.139486406128242,16.79605177578437,0.0,100.5656387522989,18.6840651903732,0.0,90.68370866325174,0.0,0.0,195.14194127651474,8.941975455233504,160.92929479407054,10.142247631312158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.68370866325174,113.35463582906468,0.0,0.0,7.22,7.22,0.0,0.0,71.63511014688339,0.001884249085884956,7.22,0.0,15.64330471784313,0.0018599925696626055,-8.494357458716303,16.650797421293829,0.2230737757667906,0.0018599925696626055,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.0,0.0010028609043981412,11.5,-11.8875,0.0,0.0010028609043981412,4.5 
 01/01  03:00:00,-11.325,-8.751553140196009,-8.910436460251058,-8.825498800849328,-8.91263663533861,-8.802174813878875,-8.943946059486802,480.030636605257,0.0,14.976235151265039,365.80822452250609,0.0,16.700229606267344,83.77167450677024,0.0,16.699918537967105,335.6925822744083,0.0,16.699837525725817,83.86518860549603,0.0,16.699629553754769,0.0,118.49171430223754,18.536295614394264,0.0,453.67002403153836,0.0,0.0,390.3568329459527,106.31050097384218,359.57735580575567,111.09739792698756,0.0,0.0,4.802307674248102,0.0,0.0,0.0,0.0,453.67002403153836,567.087530039423,0.0,0.0,7.22,7.22,0.0,0.0,61.06462650291956,0.005076589537932993,7.22,0.0,15.111482292227358,0.0018269231754988809,-8.700894752420462,16.1403889416936,0.2230737757667906,0.0018269231754988809,16.0,82.0,0.0,0.000023075280078838488,0.0,7.22,0.0,-11.325,0.0,0.0010552609473343869,11.5,-11.325,0.0,0.0010552609473343869,4.5 
 01/01  04:00:00,-11.1,-8.936741563356627,-9.07963679690093,-8.987699933665953,-9.082994853727169,-8.96946514844014,-9.146971593088342,585.8853254525175,0.0,14.479370210953624,475.14318534338886,0.0,16.69966049284662,145.00620221972944,0.0,16.699575551595357,445.8925178274644,0.0,16.699996825534737,145.52735297642509,0.0,16.70035107473884,0.0,119.47919268189586,18.415616377899597,0.0,1135.0944917318955,0.0,0.0,505.8361228185927,173.2004300803128,475.79148245764716,179.64801122392994,0.0,0.0,89.22304381298543,0.0,0.0,0.0,0.0,1135.0944917318955,1418.868114664869,0.0,0.0,7.22,7.22,0.0,0.0,51.01747978731434,0.008682349260398993,7.22,0.0,14.59526374438166,0.0017967688285628154,-8.893785520292234,15.999601514649302,0.2230737757667906,0.0017967688285628154,16.0,82.0,0.0,0.0004992313514154273,0.0,7.22,0.0,-11.1,0.0,0.001077079816545153,11.5,-11.1,0.0,0.001077079816545153,4.5 
 01/01  05:00:00,-10.7875,-9.117041951860488,-9.263394565784584,-9.169822235684443,-9.267363247641957,-9.152907005616026,-9.353523969363883,670.2724259513846,0.0,14.07719922596809,543.6804311792246,0.0,16.699825394027046,179.88905276949033,0.0,16.700337230511978,513.588320695387,0.0,16.699844740189247,179.46990374262217,0.0,16.699731455114728,0.0,113.97081424856265,18.3046069600846,0.0,1748.63285019237,0.0,0.0,574.3718478205897,208.10352694267153,543.4724597818304,213.54756008558216,0.0,0.0,185.22233766665969,0.0,0.0,0.0,0.0,1748.63285019237,2185.791062740462,0.0,0.0,7.22,7.22,0.0,0.0,48.52059881697449,0.012499745607105307,7.22,0.0,14.168554773499264,0.0017689668037289566,-9.070322463346795,15.999842154359417,0.2230737757667906,0.0017689668037289566,16.0,82.0,0.0,0.0011269466458073694,0.0,7.22,0.0,-10.7875,0.0,0.0011077366177627828,11.5,-10.7875,0.0,0.0011077366177627828,4.5 
 01/01  06:00:00,-10.6,-9.29950723051331,-9.433651525741713,-9.342025964468519,-9.437890592206936,-9.326406510312833,-9.537500415342846,735.9465276697805,0.0,13.768211365066634,576.7438882655364,0.0,16.69999508407147,195.93575810077554,0.0,16.699881753002413,546.668285865818,0.0,16.700052144904885,196.09618076181872,0.0,16.699730883268694,0.0,110.49836189715268,18.234578599283965,0.0,2006.8797698819497,0.0,0.0,607.437070405509,224.1270126451974,576.5559307855998,230.1679949151785,0.0,0.0,259.6620412265598,0.0,0.0,0.0,0.0,2006.8797698819497,2508.599712352437,0.0,0.0,7.22,7.22,0.0,0.0,50.74882482356373,0.015377681489995252,7.22,0.0,13.837505378626969,0.0017402769795619058,-9.255155345856512,15.99991605460324,0.2230737757667906,0.0017402769795619058,16.0,82.0,0.0,0.001660616980724588,0.0,7.22,0.0,-10.6,0.0,0.0011263833763957195,11.5,-10.6,0.0,0.0011263833763957195,4.5 
 01/01  07:00:00,-10.6,-9.429999609853077,-9.550087069553765,-9.467734222925709,-9.554194255038566,-9.455041722580509,-9.656389860076026,1186.4651598938443,0.0,13.813745599561596,2534.3389470822319,0.0,18.480546263364127,1627.4080997727095,0.0,19.749778862978759,2467.9032626809087,0.0,18.473779346888994,1725.7842915062127,0.0,19.989776308580525,2527.6407574297165,0.0,19.80765368439146,0.0,12751.384700420258,0.0,0.0,2643.094058308173,1778.428147837749,2573.509439605861,1920.028009285621,2716.083292830168,0.0,272.063825304427,0.0,0.0,0.0,0.0,12751.384700420258,15939.23087552532,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,74.30288613692038,0.39489991728230458,7.219999999999999,0.0,13.78234030945908,0.0017153918411374975,-9.417688366532165,16.000000577145636,0.2230737757667906,0.0017153918411374975,16.0,82.0,0.0,0.0017537025292261623,0.0,7.219999999999999,0.0,-10.6,0.0,0.0011650308833787496,11.5,-10.6,0.0,0.0011650308833787496,4.5 
 01/01  08:00:00,-10.225,-9.578941232237519,-9.685843565916353,-9.6131964916582,-9.689675115218579,-9.602077258875636,-9.790633482765785,1420.073558175854,0.0,14.168029209793917,2490.4811083664919,0.0,19.479993348286283,1489.7333473529878,0.0,21.590080644540089,2425.0471214636015,0.0,19.476817882667868,1642.8187839624857,0.0,21.693385794849733,2477.13754289615,0.0,20.827839640428267,0.0,11649.466285581935,0.0,0.0,2643.027393119631,1714.8685606026953,2573.4445295975958,1920.0072182232366,2716.027948043401,0.0,197.17831150657958,0.0,0.0,0.0,0.0,11649.466285581935,14561.832856977417,0.0,0.0,7.22,7.22,0.0,0.0,74.86704813127374,0.38933227850950916,7.22,0.0,14.11507811134127,0.001695259417717877,-9.550915883060517,15.999782832637188,0.2230737757667906,0.001695259417717877,16.0,82.0,0.0,0.0012103009008053992,0.0,7.22,0.0,-10.225,0.0,0.001228779734699374,11.5,-10.225,0.0,0.001228779734699374,4.5 
 01/01  09:00:00,-9.3125,-9.730316991835205,-9.822458784182459,-9.759030446531732,-9.825920979586178,-9.74914013219882,-9.9220724798251,1477.813625266123,0.0,14.572689369226416,2455.9954525423247,0.0,20.26615280748016,646.1901420124838,0.0,22.201308091987447,2395.1275430586968,0.0,20.177212117099047,1468.3642689614399,0.0,22.19833912360777,2454.669861800914,0.0,21.2816987124803,0.0,10621.750875238933,0.0,0.0,2642.934497435179,895.8990865939945,2573.354079675143,1770.0953151585332,2715.9475061577625,0.0,117.26466398334169,0.0,0.0,0.0,0.0,10621.750875238933,13277.188594048666,0.0,0.0,7.22,7.22,0.0,0.0,74.66525651159296,0.3451171435637512,7.22,0.0,14.470681283740328,0.001673072272531126,-9.699266430480002,16.000050615071264,0.2230737757667906,0.001673072272531126,16.0,82.0,0.0,0.0006737939612868884,0.0,7.22,0.0,-9.3125,0.0,0.001266980042480877,11.5,-9.3125,0.0,0.001266980042480877,4.5 
 01/01  10:00:00,-7.525,-9.867039890139055,-9.985059278065262,-9.920343517927567,-9.988277469356549,-9.908523625853463,-10.082193360276325,1442.0394228751684,0.0,15.07542271943391,2415.5836467034825,0.0,21.192006656997216,69.48373286343127,45.522585853583368,22.200371353913007,2372.139106383289,0.0,20.719484522065625,1308.2842888419487,0.0,22.200668873040358,2445.1918712009048,0.0,21.48107859025228,0.0,9753.069697182365,0.0,0.0,2641.3585318661346,272.03604905829908,2571.819604843382,1608.2097185052995,2714.3806046931019,0.0,21.777211097370207,0.0,0.0,0.0,0.0,9753.069697182365,12191.337121477956,0.0,0.0,7.22,7.22,0.0,0.0,74.92999334171616,0.32873891205198788,7.22,0.0,14.934627816978422,0.0016537330722806779,-9.830126786306482,16.03935953491942,0.2230737757667906,0.0016537330722806779,16.0,82.0,0.0,0.00011301699918084778,0.0,7.22,0.0,-7.525,0.0,0.00129622204152932,11.5,-7.525,0.0,0.00129622204152932,4.5 
